"Time","histogram_quantile(
    0.99,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 21:50:00,
2025-05-31 21:50:15,170 ms
2025-05-31 21:50:30,125 ms
2025-05-31 21:50:45,96.8 ms
2025-05-31 21:51:00,92.8 ms
2025-05-31 21:51:15,77.8 ms
2025-05-31 21:51:30,77.2 ms
2025-05-31 21:51:45,66.6 ms
2025-05-31 21:52:00,41.0 ms
2025-05-31 21:52:15,43.2 ms
2025-05-31 21:52:30,38.8 ms
2025-05-31 21:52:45,38.4 ms
2025-05-31 21:53:00,44.9 ms
2025-05-31 21:53:15,62.5 ms
2025-05-31 21:53:30,60.2 ms
2025-05-31 21:53:45,60.5 ms
2025-05-31 21:54:00,43.8 ms
2025-05-31 21:54:15,49.5 ms
2025-05-31 21:54:30,47.4 ms
2025-05-31 21:54:45,44.7 ms
2025-05-31 21:55:00,38.2 ms
2025-05-31 21:55:15,39.1 ms
2025-05-31 21:55:30,41.1 ms
2025-05-31 21:55:45,47.6 ms
2025-05-31 21:56:00,51.4 ms
2025-05-31 21:56:15,42.9 ms
2025-05-31 21:56:30,47.2 ms
2025-05-31 21:56:45,44.3 ms
2025-05-31 21:57:00,45.1 ms
2025-05-31 21:57:15,52.0 ms
2025-05-31 21:57:30,51.9 ms
2025-05-31 21:57:45,50.7 ms
2025-05-31 21:58:00,42.0 ms
2025-05-31 21:58:15,37.9 ms
2025-05-31 21:58:30,37.7 ms
2025-05-31 21:58:45,42.6 ms
2025-05-31 21:59:00,43.1 ms
2025-05-31 21:59:15,44.2 ms
2025-05-31 21:59:30,44.4 ms
2025-05-31 21:59:45,46.1 ms
2025-05-31 22:00:00,40.9 ms
2025-05-31 22:00:15,196 ms
2025-05-31 22:00:30,215 ms
2025-05-31 22:00:45,201 ms
2025-05-31 22:01:00,172 ms
2025-05-31 22:01:15,55.6 ms
2025-05-31 22:01:30,49.6 ms
2025-05-31 22:01:45,49.9 ms
2025-05-31 22:02:00,41.1 ms
2025-05-31 22:02:15,38.5 ms
2025-05-31 22:02:30,36.2 ms
2025-05-31 22:02:45,33.1 ms
2025-05-31 22:03:00,31.6 ms
2025-05-31 22:03:15,30.7 ms
2025-05-31 22:03:30,32.9 ms
2025-05-31 22:03:45,39.2 ms
2025-05-31 22:04:00,44.5 ms
2025-05-31 22:04:15,45.0 ms
2025-05-31 22:04:30,44.9 ms
2025-05-31 22:04:45,42.1 ms
2025-05-31 22:05:00,39.6 ms
2025-05-31 22:05:15,57.0 ms
2025-05-31 22:05:30,57.7 ms
2025-05-31 22:05:45,60.1 ms
2025-05-31 22:06:00,37.0 ms
2025-05-31 22:06:15,42.1 ms
2025-05-31 22:06:30,42.1 ms
2025-05-31 22:06:45,43.1 ms
2025-05-31 22:07:00,39.6 ms
2025-05-31 22:07:15,36.7 ms
2025-05-31 22:07:30,34.3 ms
2025-05-31 22:07:45,35.8 ms
2025-05-31 22:08:00,35.3 ms
2025-05-31 22:08:15,34.0 ms
2025-05-31 22:08:30,32.8 ms
2025-05-31 22:08:45,32.5 ms
2025-05-31 22:09:00,31.6 ms
2025-05-31 22:09:15,30.4 ms
2025-05-31 22:09:30,30.3 ms
2025-05-31 22:09:45,31.1 ms
2025-05-31 22:10:00,30.5 ms

