"Time","histogram_quantile(
    0.90,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 21:50:00,
2025-05-31 21:50:15,40.2 ms
2025-05-31 21:50:30,58.8 ms
2025-05-31 21:50:45,50.1 ms
2025-05-31 21:51:00,48.2 ms
2025-05-31 21:51:15,38.4 ms
2025-05-31 21:51:30,34.5 ms
2025-05-31 21:51:45,31.6 ms
2025-05-31 21:52:00,25.4 ms
2025-05-31 21:52:15,25.5 ms
2025-05-31 21:52:30,16.6 ms
2025-05-31 21:52:45,16.5 ms
2025-05-31 21:53:00,24.4 ms
2025-05-31 21:53:15,29.3 ms
2025-05-31 21:53:30,28.1 ms
2025-05-31 21:53:45,27.4 ms
2025-05-31 21:54:00,20.4 ms
2025-05-31 21:54:15,21.3 ms
2025-05-31 21:54:30,23.5 ms
2025-05-31 21:54:45,24.1 ms
2025-05-31 21:55:00,21.3 ms
2025-05-31 21:55:15,21.6 ms
2025-05-31 21:55:30,21.4 ms
2025-05-31 21:55:45,21.6 ms
2025-05-31 21:56:00,21.6 ms
2025-05-31 21:56:15,20.6 ms
2025-05-31 21:56:30,21.6 ms
2025-05-31 21:56:45,21.7 ms
2025-05-31 21:57:00,21.9 ms
2025-05-31 21:57:15,22.9 ms
2025-05-31 21:57:30,23.4 ms
2025-05-31 21:57:45,22.7 ms
2025-05-31 21:58:00,21.2 ms
2025-05-31 21:58:15,20.2 ms
2025-05-31 21:58:30,20.6 ms
2025-05-31 21:58:45,21.1 ms
2025-05-31 21:59:00,21.2 ms
2025-05-31 21:59:15,21.4 ms
2025-05-31 21:59:30,21.3 ms
2025-05-31 21:59:45,20.9 ms
2025-05-31 22:00:00,19.6 ms
2025-05-31 22:00:15,37.0 ms
2025-05-31 22:00:30,47.8 ms
2025-05-31 22:00:45,45.7 ms
2025-05-31 22:01:00,34.9 ms
2025-05-31 22:01:15,21.5 ms
2025-05-31 22:01:30,21.1 ms
2025-05-31 22:01:45,21.0 ms
2025-05-31 22:02:00,18.9 ms
2025-05-31 22:02:15,17.6 ms
2025-05-31 22:02:30,17.2 ms
2025-05-31 22:02:45,15.6 ms
2025-05-31 22:03:00,13.7 ms
2025-05-31 22:03:15,13.4 ms
2025-05-31 22:03:30,18.1 ms
2025-05-31 22:03:45,21.2 ms
2025-05-31 22:04:00,20.3 ms
2025-05-31 22:04:15,20.1 ms
2025-05-31 22:04:30,18.1 ms
2025-05-31 22:04:45,19.6 ms
2025-05-31 22:05:00,20.5 ms
2025-05-31 22:05:15,23.3 ms
2025-05-31 22:05:30,23.7 ms
2025-05-31 22:05:45,24.4 ms
2025-05-31 22:06:00,17.8 ms
2025-05-31 22:06:15,18.2 ms
2025-05-31 22:06:30,19.4 ms
2025-05-31 22:06:45,19.4 ms
2025-05-31 22:07:00,17.5 ms
2025-05-31 22:07:15,16.6 ms
2025-05-31 22:07:30,13.4 ms
2025-05-31 22:07:45,13.4 ms
2025-05-31 22:08:00,13.1 ms
2025-05-31 22:08:15,13.9 ms
2025-05-31 22:08:30,14.6 ms
2025-05-31 22:08:45,14.8 ms
2025-05-31 22:09:00,14.8 ms
2025-05-31 22:09:15,15.9 ms
2025-05-31 22:09:30,15.8 ms
2025-05-31 22:09:45,15.8 ms
2025-05-31 22:10:00,13.6 ms

