"Time","{job=""kafka-brokers""}"
2025-05-31 21:50:00,0 B
2025-05-31 21:50:15,829 B
2025-05-31 21:50:30,8.25 kB
2025-05-31 21:50:45,11.6 kB
2025-05-31 21:51:00,14.5 kB
2025-05-31 21:51:15,11.8 kB
2025-05-31 21:51:30,10.3 kB
2025-05-31 21:51:45,9.82 kB
2025-05-31 21:52:00,7.41 kB
2025-05-31 21:52:15,7.72 kB
2025-05-31 21:52:30,4.56 kB
2025-05-31 21:52:45,4.34 kB
2025-05-31 21:53:00,8.01 kB
2025-05-31 21:53:15,14.0 kB
2025-05-31 21:53:30,17.1 kB
2025-05-31 21:53:45,16.0 kB
2025-05-31 21:54:00,9.86 kB
2025-05-31 21:54:15,8.80 kB
2025-05-31 21:54:30,8.44 kB
2025-05-31 21:54:45,15.1 kB
2025-05-31 21:55:00,21.5 kB
2025-05-31 21:55:15,25.9 kB
2025-05-31 21:55:30,28.0 kB
2025-05-31 21:55:45,21.7 kB
2025-05-31 21:56:00,18.2 kB
2025-05-31 21:56:15,11.3 kB
2025-05-31 21:56:30,15.5 kB
2025-05-31 21:56:45,16.4 kB
2025-05-31 21:57:00,23.3 kB
2025-05-31 21:57:15,26.4 kB
2025-05-31 21:57:30,29.8 kB
2025-05-31 21:57:45,29.8 kB
2025-05-31 21:58:00,24.3 kB
2025-05-31 21:58:15,20.3 kB
2025-05-31 21:58:30,19.6 kB
2025-05-31 21:58:45,22.4 kB
2025-05-31 21:59:00,25.5 kB
2025-05-31 21:59:15,26.8 kB
2025-05-31 21:59:30,21.4 kB
2025-05-31 21:59:45,23.0 kB
2025-05-31 22:00:00,21.0 kB
2025-05-31 22:00:15,25.7 kB
2025-05-31 22:00:30,29.0 kB
2025-05-31 22:00:45,32.4 kB
2025-05-31 22:01:00,35.2 kB
2025-05-31 22:01:15,29.6 kB
2025-05-31 22:01:30,22.3 kB
2025-05-31 22:01:45,14.8 kB
2025-05-31 22:02:00,16.9 kB
2025-05-31 22:02:15,17.5 kB
2025-05-31 22:02:30,16.6 kB
2025-05-31 22:02:45,10.2 kB
2025-05-31 22:03:00,6.43 kB
2025-05-31 22:03:15,4.49 kB
2025-05-31 22:03:30,5.24 kB
2025-05-31 22:03:45,14.0 kB
2025-05-31 22:04:00,21.7 kB
2025-05-31 22:04:15,24.5 kB
2025-05-31 22:04:30,21.2 kB
2025-05-31 22:04:45,17.2 kB
2025-05-31 22:05:00,18.5 kB
2025-05-31 22:05:15,21.3 kB
2025-05-31 22:05:30,20.8 kB
2025-05-31 22:05:45,14.2 kB
2025-05-31 22:06:00,9.18 kB
2025-05-31 22:06:15,7.95 kB
2025-05-31 22:06:30,8.38 kB
2025-05-31 22:06:45,10.6 kB
2025-05-31 22:07:00,7.85 kB
2025-05-31 22:07:15,7.66 kB
2025-05-31 22:07:30,4.53 kB
2025-05-31 22:07:45,4.08 kB
2025-05-31 22:08:00,4.22 kB
2025-05-31 22:08:15,4.15 kB
2025-05-31 22:08:30,4.08 kB
2025-05-31 22:08:45,4.02 kB
2025-05-31 22:09:00,4.71 kB
2025-05-31 22:09:15,7.37 kB
2025-05-31 22:09:30,7.70 kB
2025-05-31 22:09:45,7.60 kB
2025-05-31 22:10:00,4.47 kB

