"Time","histogram_quantile(
    0.95,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 21:50:00,
2025-05-31 21:50:15,45.4 ms
2025-05-31 21:50:30,75.9 ms
2025-05-31 21:50:45,62.4 ms
2025-05-31 21:51:00,60.7 ms
2025-05-31 21:51:15,50.5 ms
2025-05-31 21:51:30,47.8 ms
2025-05-31 21:51:45,42.8 ms
2025-05-31 21:52:00,30.6 ms
2025-05-31 21:52:15,31.0 ms
2025-05-31 21:52:30,22.2 ms
2025-05-31 21:52:45,22.1 ms
2025-05-31 21:53:00,30.3 ms
2025-05-31 21:53:15,38.6 ms
2025-05-31 21:53:30,37.4 ms
2025-05-31 21:53:45,36.5 ms
2025-05-31 21:54:00,26.6 ms
2025-05-31 21:54:15,28.3 ms
2025-05-31 21:54:30,30.6 ms
2025-05-31 21:54:45,30.0 ms
2025-05-31 21:55:00,26.6 ms
2025-05-31 21:55:15,26.9 ms
2025-05-31 21:55:30,26.6 ms
2025-05-31 21:55:45,27.3 ms
2025-05-31 21:56:00,27.3 ms
2025-05-31 21:56:15,24.6 ms
2025-05-31 21:56:30,27.1 ms
2025-05-31 21:56:45,26.8 ms
2025-05-31 21:57:00,27.5 ms
2025-05-31 21:57:15,30.7 ms
2025-05-31 21:57:30,30.9 ms
2025-05-31 21:57:45,29.8 ms
2025-05-31 21:58:00,26.4 ms
2025-05-31 21:58:15,24.2 ms
2025-05-31 21:58:30,24.9 ms
2025-05-31 21:58:45,25.8 ms
2025-05-31 21:59:00,26.3 ms
2025-05-31 21:59:15,27.3 ms
2025-05-31 21:59:30,27.3 ms
2025-05-31 21:59:45,26.8 ms
2025-05-31 22:00:00,23.8 ms
2025-05-31 22:00:15,77.3 ms
2025-05-31 22:00:30,81.3 ms
2025-05-31 22:00:45,78.1 ms
2025-05-31 22:01:00,60.0 ms
2025-05-31 22:01:15,29.3 ms
2025-05-31 22:01:30,28.0 ms
2025-05-31 22:01:45,28.7 ms
2025-05-31 22:02:00,24.3 ms
2025-05-31 22:02:15,22.7 ms
2025-05-31 22:02:30,22.5 ms
2025-05-31 22:02:45,22.1 ms
2025-05-31 22:03:00,19.7 ms
2025-05-31 22:03:15,18.4 ms
2025-05-31 22:03:30,22.3 ms
2025-05-31 22:03:45,26.4 ms
2025-05-31 22:04:00,26.0 ms
2025-05-31 22:04:15,25.9 ms
2025-05-31 22:04:30,24.4 ms
2025-05-31 22:04:45,25.7 ms
2025-05-31 22:05:00,25.9 ms
2025-05-31 22:05:15,31.1 ms
2025-05-31 22:05:30,31.6 ms
2025-05-31 22:05:45,32.6 ms
2025-05-31 22:06:00,22.1 ms
2025-05-31 22:06:15,24.9 ms
2025-05-31 22:06:30,25.6 ms
2025-05-31 22:06:45,26.0 ms
2025-05-31 22:07:00,25.0 ms
2025-05-31 22:07:15,24.3 ms
2025-05-31 22:07:30,20.6 ms
2025-05-31 22:07:45,19.5 ms
2025-05-31 22:08:00,18.2 ms
2025-05-31 22:08:15,20.7 ms
2025-05-31 22:08:30,21.3 ms
2025-05-31 22:08:45,22.5 ms
2025-05-31 22:09:00,20.1 ms
2025-05-31 22:09:15,20.9 ms
2025-05-31 22:09:30,20.7 ms
2025-05-31 22:09:45,21.0 ms
2025-05-31 22:10:00,18.2 ms

