"Time","histogram_quantile(
    0.95,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-06-08 11:27:15,
2025-06-08 11:27:30,
2025-06-08 11:27:45,1.01 s
2025-06-08 11:28:00,76.3 ms
2025-06-08 11:28:15,55.2 ms
2025-06-08 11:28:30,44.6 ms
2025-06-08 11:28:45,27.0 ms
2025-06-08 11:29:00,20.5 ms
2025-06-08 11:29:15,19.5 ms
2025-06-08 11:29:30,17.5 ms
2025-06-08 11:29:45,14.1 ms
2025-06-08 11:30:00,5.48 ms
2025-06-08 11:30:15,13.2 ms
2025-06-08 11:30:30,18.6 ms
2025-06-08 11:30:45,17.4 ms
2025-06-08 11:31:00,16.5 ms
2025-06-08 11:31:15,14.8 ms
2025-06-08 11:31:30,11.1 ms
2025-06-08 11:31:45,11.3 ms
2025-06-08 11:32:00,13.6 ms
2025-06-08 11:32:15,14.8 ms
2025-06-08 11:32:30,13.1 ms
2025-06-08 11:32:45,13.8 ms
2025-06-08 11:33:00,13.2 ms
2025-06-08 11:33:15,14.2 ms
2025-06-08 11:33:30,14.4 ms
2025-06-08 11:33:45,13.3 ms
2025-06-08 11:34:00,12.7 ms
2025-06-08 11:34:15,13.8 ms
2025-06-08 11:34:30,14.3 ms
2025-06-08 11:34:45,14.3 ms
2025-06-08 11:35:00,13.5 ms
2025-06-08 11:35:15,13.1 ms
2025-06-08 11:35:30,11.0 ms
2025-06-08 11:35:45,11.0 ms
2025-06-08 11:36:00,11.2 ms
2025-06-08 11:36:15,12.8 ms
2025-06-08 11:36:30,12.7 ms
2025-06-08 11:36:45,12.5 ms
2025-06-08 11:37:00,11.1 ms
2025-06-08 11:37:15,11.3 ms
2025-06-08 11:37:30,11.6 ms
2025-06-08 11:37:45,12.2 ms
2025-06-08 11:38:00,12.8 ms
2025-06-08 11:38:15,13.9 ms
2025-06-08 11:38:30,13.9 ms
2025-06-08 11:38:45,13.8 ms
2025-06-08 11:39:00,11.5 ms
2025-06-08 11:39:15,10.8 ms
2025-06-08 11:39:30,11.0 ms
2025-06-08 11:39:45,10.3 ms
2025-06-08 11:40:00,9.75 ms
2025-06-08 11:40:15,4.11 ms
2025-06-08 11:40:30,3.83 ms
2025-06-08 11:40:45,4.65 ms
2025-06-08 11:41:00,9.49 ms
2025-06-08 11:41:15,10.7 ms
2025-06-08 11:41:30,10.3 ms
2025-06-08 11:41:45,10.0 ms
2025-06-08 11:42:00,8.44 ms
2025-06-08 11:42:15,9.67 ms
2025-06-08 11:42:30,10.4 ms
2025-06-08 11:42:45,9.85 ms
2025-06-08 11:43:00,8.22 ms
2025-06-08 11:43:15,7.75 ms
2025-06-08 11:43:30,7.18 ms
2025-06-08 11:43:45,6.27 ms
2025-06-08 11:44:00,6.98 ms
2025-06-08 11:44:15,6.58 ms
2025-06-08 11:44:30,5.68 ms
2025-06-08 11:44:45,5.46 ms
2025-06-08 11:45:00,3.24 ms
2025-06-08 11:45:15,3.43 ms
2025-06-08 11:45:30,3.50 ms
2025-06-08 11:45:45,3.50 ms
2025-06-08 11:46:00,3.36 ms
2025-06-08 11:46:15,3.29 ms
2025-06-08 11:46:30,6.36 ms
2025-06-08 11:46:45,6.19 ms
2025-06-08 11:47:00,6.32 ms
2025-06-08 11:47:15,5.69 ms

