"Time","local"
2025-05-31 17:11:45,0 B/s
2025-05-31 17:12:00,0 B/s
2025-05-31 17:12:15,31.1 kB/s
2025-05-31 17:12:30,31.1 kB/s
2025-05-31 17:12:45,31.1 kB/s
2025-05-31 17:13:00,31.1 kB/s
2025-05-31 17:13:15,12.3 kB/s
2025-05-31 17:13:30,12.3 kB/s
2025-05-31 17:13:45,12.3 kB/s
2025-05-31 17:14:00,12.3 kB/s
2025-05-31 17:14:15,5.76 kB/s
2025-05-31 17:14:30,5.76 kB/s
2025-05-31 17:14:45,5.76 kB/s
2025-05-31 17:15:00,5.76 kB/s
2025-05-31 17:15:15,9.57 kB/s
2025-05-31 17:15:30,9.57 kB/s
2025-05-31 17:15:45,9.57 kB/s
2025-05-31 17:16:00,9.57 kB/s
2025-05-31 17:16:15,7.91 kB/s
2025-05-31 17:16:30,7.91 kB/s
2025-05-31 17:16:45,7.91 kB/s
2025-05-31 17:17:00,7.91 kB/s
2025-05-31 17:17:15,18.0 kB/s
2025-05-31 17:17:30,18.0 kB/s
2025-05-31 17:17:45,18.0 kB/s
2025-05-31 17:18:00,18.0 kB/s
2025-05-31 17:18:15,13.3 kB/s
2025-05-31 17:18:30,13.3 kB/s
2025-05-31 17:18:45,13.3 kB/s
2025-05-31 17:19:00,13.3 kB/s
2025-05-31 17:19:15,23.2 kB/s
2025-05-31 17:19:30,23.2 kB/s
2025-05-31 17:19:45,23.2 kB/s
2025-05-31 17:20:00,23.2 kB/s
2025-05-31 17:20:15,17.8 kB/s
2025-05-31 17:20:30,17.8 kB/s
2025-05-31 17:20:45,17.8 kB/s
2025-05-31 17:21:00,17.8 kB/s
2025-05-31 17:21:15,21.7 kB/s
2025-05-31 17:21:30,21.7 kB/s
2025-05-31 17:21:45,21.7 kB/s
2025-05-31 17:22:00,21.7 kB/s
2025-05-31 17:22:15,21.2 kB/s
2025-05-31 17:22:30,21.2 kB/s
2025-05-31 17:22:45,21.2 kB/s
2025-05-31 17:23:00,21.2 kB/s
2025-05-31 17:23:15,32.8 kB/s
2025-05-31 17:23:30,32.8 kB/s
2025-05-31 17:23:45,32.8 kB/s
2025-05-31 17:24:00,32.8 kB/s
2025-05-31 17:24:15,13.6 kB/s
2025-05-31 17:24:30,13.6 kB/s
2025-05-31 17:24:45,13.6 kB/s
2025-05-31 17:25:00,13.6 kB/s
2025-05-31 17:25:15,4.00 kB/s
2025-05-31 17:25:30,4.00 kB/s
2025-05-31 17:25:45,3.98 kB/s
2025-05-31 17:26:00,3.98 kB/s
2025-05-31 17:26:15,18.4 kB/s
2025-05-31 17:26:30,18.4 kB/s
2025-05-31 17:26:45,18.4 kB/s
2025-05-31 17:27:00,18.4 kB/s
2025-05-31 17:27:15,16.5 kB/s
2025-05-31 17:27:30,16.5 kB/s
2025-05-31 17:27:45,16.5 kB/s
2025-05-31 17:28:00,16.4 kB/s
2025-05-31 17:28:15,7.53 kB/s
2025-05-31 17:28:30,7.53 kB/s
2025-05-31 17:28:45,7.53 kB/s
2025-05-31 17:29:00,7.53 kB/s
2025-05-31 17:29:15,5.66 kB/s
2025-05-31 17:29:30,5.64 kB/s
2025-05-31 17:29:45,5.61 kB/s
2025-05-31 17:30:00,5.61 kB/s
2025-05-31 17:30:15,2.84 kB/s
2025-05-31 17:30:30,2.83 kB/s
2025-05-31 17:30:45,2.82 kB/s
2025-05-31 17:31:00,2.82 kB/s
2025-05-31 17:31:15,5.15 kB/s
2025-05-31 17:31:30,5.15 kB/s
2025-05-31 17:31:45,5.15 kB/s

