"Time","histogram_quantile(
    0.95,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 17:11:45,
2025-05-31 17:12:00,198 ms
2025-05-31 17:12:15,108 ms
2025-05-31 17:12:30,78.1 ms
2025-05-31 17:12:45,53.2 ms
2025-05-31 17:13:00,19.4 ms
2025-05-31 17:13:15,15.3 ms
2025-05-31 17:13:30,14.6 ms
2025-05-31 17:13:45,10.8 ms
2025-05-31 17:14:00,10.8 ms
2025-05-31 17:14:15,4.66 ms
2025-05-31 17:14:30,4.80 ms
2025-05-31 17:14:45,11.0 ms
2025-05-31 17:15:00,12.2 ms
2025-05-31 17:15:15,12.9 ms
2025-05-31 17:15:30,11.7 ms
2025-05-31 17:15:45,9.87 ms
2025-05-31 17:16:00,10.3 ms
2025-05-31 17:16:15,9.57 ms
2025-05-31 17:16:30,11.0 ms
2025-05-31 17:16:45,10.1 ms
2025-05-31 17:17:00,9.32 ms
2025-05-31 17:17:15,11.6 ms
2025-05-31 17:17:30,12.1 ms
2025-05-31 17:17:45,13.4 ms
2025-05-31 17:18:00,11.4 ms
2025-05-31 17:18:15,10.9 ms
2025-05-31 17:18:30,10.3 ms
2025-05-31 17:18:45,10.3 ms
2025-05-31 17:19:00,10.6 ms
2025-05-31 17:19:15,10.8 ms
2025-05-31 17:19:30,10.5 ms
2025-05-31 17:19:45,9.80 ms
2025-05-31 17:20:00,8.88 ms
2025-05-31 17:20:15,8.41 ms
2025-05-31 17:20:30,9.10 ms
2025-05-31 17:20:45,9.35 ms
2025-05-31 17:21:00,9.37 ms
2025-05-31 17:21:15,8.69 ms
2025-05-31 17:21:30,8.98 ms
2025-05-31 17:21:45,8.75 ms
2025-05-31 17:22:00,9.12 ms
2025-05-31 17:22:15,10.1 ms
2025-05-31 17:22:30,9.99 ms
2025-05-31 17:22:45,10.3 ms
2025-05-31 17:23:00,9.93 ms
2025-05-31 17:23:15,9.88 ms
2025-05-31 17:23:30,9.35 ms
2025-05-31 17:23:45,9.52 ms
2025-05-31 17:24:00,7.99 ms
2025-05-31 17:24:15,7.80 ms
2025-05-31 17:24:30,6.74 ms
2025-05-31 17:24:45,3.74 ms
2025-05-31 17:25:00,3.21 ms
2025-05-31 17:25:15,3.38 ms
2025-05-31 17:25:30,7.72 ms
2025-05-31 17:25:45,7.53 ms
2025-05-31 17:26:00,6.85 ms
2025-05-31 17:26:15,6.31 ms
2025-05-31 17:26:30,4.97 ms
2025-05-31 17:26:45,5.39 ms
2025-05-31 17:27:00,5.85 ms
2025-05-31 17:27:15,6.34 ms
2025-05-31 17:27:30,6.25 ms
2025-05-31 17:27:45,5.51 ms
2025-05-31 17:28:00,5.48 ms
2025-05-31 17:28:15,5.05 ms
2025-05-31 17:28:30,5.37 ms
2025-05-31 17:28:45,4.70 ms
2025-05-31 17:29:00,4.78 ms
2025-05-31 17:29:15,3.29 ms
2025-05-31 17:29:30,3.41 ms
2025-05-31 17:29:45,3.39 ms
2025-05-31 17:30:00,3.22 ms
2025-05-31 17:30:15,3.50 ms
2025-05-31 17:30:30,3.52 ms
2025-05-31 17:30:45,3.49 ms
2025-05-31 17:31:00,4.45 ms
2025-05-31 17:31:15,4.50 ms
2025-05-31 17:31:30,4.50 ms
2025-05-31 17:31:45,3.04 ms

