"Time","histogram_quantile(
    0.90,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 17:11:45,
2025-05-31 17:12:00,159 ms
2025-05-31 17:12:15,50.3 ms
2025-05-31 17:12:30,30.8 ms
2025-05-31 17:12:45,22.9 ms
2025-05-31 17:13:00,15.0 ms
2025-05-31 17:13:15,11.5 ms
2025-05-31 17:13:30,10.6 ms
2025-05-31 17:13:45,7.88 ms
2025-05-31 17:14:00,7.91 ms
2025-05-31 17:14:15,3.54 ms
2025-05-31 17:14:30,3.66 ms
2025-05-31 17:14:45,8.16 ms
2025-05-31 17:15:00,9.62 ms
2025-05-31 17:15:15,10.0 ms
2025-05-31 17:15:30,9.10 ms
2025-05-31 17:15:45,6.64 ms
2025-05-31 17:16:00,6.39 ms
2025-05-31 17:16:15,6.61 ms
2025-05-31 17:16:30,8.04 ms
2025-05-31 17:16:45,7.58 ms
2025-05-31 17:17:00,7.01 ms
2025-05-31 17:17:15,8.77 ms
2025-05-31 17:17:30,9.17 ms
2025-05-31 17:17:45,10.2 ms
2025-05-31 17:18:00,8.88 ms
2025-05-31 17:18:15,8.58 ms
2025-05-31 17:18:30,8.17 ms
2025-05-31 17:18:45,8.16 ms
2025-05-31 17:19:00,8.35 ms
2025-05-31 17:19:15,8.42 ms
2025-05-31 17:19:30,8.19 ms
2025-05-31 17:19:45,7.58 ms
2025-05-31 17:20:00,6.67 ms
2025-05-31 17:20:15,6.57 ms
2025-05-31 17:20:30,7.18 ms
2025-05-31 17:20:45,7.57 ms
2025-05-31 17:21:00,7.46 ms
2025-05-31 17:21:15,6.88 ms
2025-05-31 17:21:30,6.79 ms
2025-05-31 17:21:45,6.81 ms
2025-05-31 17:22:00,7.14 ms
2025-05-31 17:22:15,7.66 ms
2025-05-31 17:22:30,7.53 ms
2025-05-31 17:22:45,7.80 ms
2025-05-31 17:23:00,7.61 ms
2025-05-31 17:23:15,7.45 ms
2025-05-31 17:23:30,7.02 ms
2025-05-31 17:23:45,6.57 ms
2025-05-31 17:24:00,5.48 ms
2025-05-31 17:24:15,5.30 ms
2025-05-31 17:24:30,4.78 ms
2025-05-31 17:24:45,2.91 ms
2025-05-31 17:25:00,2.77 ms
2025-05-31 17:25:15,2.78 ms
2025-05-31 17:25:30,5.73 ms
2025-05-31 17:25:45,5.79 ms
2025-05-31 17:26:00,5.30 ms
2025-05-31 17:26:15,5.00 ms
2025-05-31 17:26:30,3.84 ms
2025-05-31 17:26:45,4.18 ms
2025-05-31 17:27:00,4.74 ms
2025-05-31 17:27:15,4.94 ms
2025-05-31 17:27:30,4.78 ms
2025-05-31 17:27:45,4.16 ms
2025-05-31 17:28:00,4.07 ms
2025-05-31 17:28:15,3.86 ms
2025-05-31 17:28:30,4.07 ms
2025-05-31 17:28:45,3.58 ms
2025-05-31 17:29:00,3.60 ms
2025-05-31 17:29:15,2.72 ms
2025-05-31 17:29:30,2.72 ms
2025-05-31 17:29:45,2.69 ms
2025-05-31 17:30:00,2.68 ms
2025-05-31 17:30:15,2.78 ms
2025-05-31 17:30:30,2.85 ms
2025-05-31 17:30:45,2.79 ms
2025-05-31 17:31:00,3.43 ms
2025-05-31 17:31:15,3.42 ms
2025-05-31 17:31:30,3.39 ms
2025-05-31 17:31:45,2.69 ms

