"Time","histogram_quantile(
    0.99,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 17:11:45,
2025-05-31 17:12:00,256 ms
2025-05-31 17:12:15,228 ms
2025-05-31 17:12:30,203 ms
2025-05-31 17:12:45,191 ms
2025-05-31 17:13:00,33.4 ms
2025-05-31 17:13:15,29.5 ms
2025-05-31 17:13:30,22.2 ms
2025-05-31 17:13:45,18.4 ms
2025-05-31 17:14:00,18.1 ms
2025-05-31 17:14:15,7.77 ms
2025-05-31 17:14:30,7.39 ms
2025-05-31 17:14:45,18.2 ms
2025-05-31 17:15:00,20.5 ms
2025-05-31 17:15:15,21.0 ms
2025-05-31 17:15:30,19.9 ms
2025-05-31 17:15:45,17.6 ms
2025-05-31 17:16:00,19.3 ms
2025-05-31 17:16:15,20.4 ms
2025-05-31 17:16:30,20.5 ms
2025-05-31 17:16:45,18.0 ms
2025-05-31 17:17:00,15.6 ms
2025-05-31 17:17:15,26.8 ms
2025-05-31 17:17:30,32.4 ms
2025-05-31 17:17:45,36.1 ms
2025-05-31 17:18:00,32.4 ms
2025-05-31 17:18:15,20.2 ms
2025-05-31 17:18:30,17.7 ms
2025-05-31 17:18:45,16.6 ms
2025-05-31 17:19:00,18.8 ms
2025-05-31 17:19:15,20.4 ms
2025-05-31 17:19:30,19.2 ms
2025-05-31 17:19:45,18.6 ms
2025-05-31 17:20:00,15.2 ms
2025-05-31 17:20:15,18.2 ms
2025-05-31 17:20:30,18.5 ms
2025-05-31 17:20:45,18.1 ms
2025-05-31 17:21:00,17.3 ms
2025-05-31 17:21:15,14.6 ms
2025-05-31 17:21:30,16.0 ms
2025-05-31 17:21:45,16.5 ms
2025-05-31 17:22:00,17.1 ms
2025-05-31 17:22:15,21.5 ms
2025-05-31 17:22:30,21.7 ms
2025-05-31 17:22:45,24.2 ms
2025-05-31 17:23:00,24.2 ms
2025-05-31 17:23:15,26.0 ms
2025-05-31 17:23:30,24.1 ms
2025-05-31 17:23:45,23.2 ms
2025-05-31 17:24:00,20.6 ms
2025-05-31 17:24:15,20.2 ms
2025-05-31 17:24:30,18.0 ms
2025-05-31 17:24:45,10.6 ms
2025-05-31 17:25:00,6.77 ms
2025-05-31 17:25:15,7.53 ms
2025-05-31 17:25:30,14.2 ms
2025-05-31 17:25:45,12.2 ms
2025-05-31 17:26:00,11.1 ms
2025-05-31 17:26:15,10.4 ms
2025-05-31 17:26:30,9.06 ms
2025-05-31 17:26:45,10.0 ms
2025-05-31 17:27:00,11.8 ms
2025-05-31 17:27:15,13.5 ms
2025-05-31 17:27:30,13.7 ms
2025-05-31 17:27:45,13.1 ms
2025-05-31 17:28:00,11.6 ms
2025-05-31 17:28:15,9.74 ms
2025-05-31 17:28:30,11.3 ms
2025-05-31 17:28:45,9.70 ms
2025-05-31 17:29:00,8.93 ms
2025-05-31 17:29:15,6.16 ms
2025-05-31 17:29:30,6.31 ms
2025-05-31 17:29:45,6.29 ms
2025-05-31 17:30:00,6.23 ms
2025-05-31 17:30:15,6.75 ms
2025-05-31 17:30:30,7.97 ms
2025-05-31 17:30:45,7.47 ms
2025-05-31 17:31:00,15.1 ms
2025-05-31 17:31:15,13.6 ms
2025-05-31 17:31:30,13.4 ms
2025-05-31 17:31:45,5.20 ms

