"Time","histogram_quantile(
    0.90,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-30 23:05:45,
2025-05-30 23:06:00,69.3 ms
2025-05-30 23:06:15,20.7 ms
2025-05-30 23:06:30,16.7 ms
2025-05-30 23:06:45,16.0 ms
2025-05-30 23:07:00,14.7 ms
2025-05-30 23:07:15,12.8 ms
2025-05-30 23:07:30,12.1 ms
2025-05-30 23:07:45,10.9 ms
2025-05-30 23:08:00,9.90 ms
2025-05-30 23:08:15,8.43 ms
2025-05-30 23:08:30,8.19 ms
2025-05-30 23:08:45,10.9 ms
2025-05-30 23:09:00,16.4 ms
2025-05-30 23:09:15,16.5 ms
2025-05-30 23:09:30,14.6 ms
2025-05-30 23:09:45,12.2 ms
2025-05-30 23:10:00,8.72 ms
2025-05-30 23:10:15,12.0 ms
2025-05-30 23:10:30,14.1 ms
2025-05-30 23:10:45,13.9 ms
2025-05-30 23:11:00,11.3 ms
2025-05-30 23:11:15,13.8 ms
2025-05-30 23:11:30,14.1 ms
2025-05-30 23:11:45,15.8 ms
2025-05-30 23:12:00,14.2 ms
2025-05-30 23:12:15,14.8 ms
2025-05-30 23:12:30,15.3 ms
2025-05-30 23:12:45,16.1 ms
2025-05-30 23:13:00,16.1 ms
2025-05-30 23:13:15,16.7 ms
2025-05-30 23:13:30,16.2 ms
2025-05-30 23:13:45,16.0 ms
2025-05-30 23:14:00,13.6 ms
2025-05-30 23:14:15,15.6 ms
2025-05-30 23:14:30,15.6 ms
2025-05-30 23:14:45,16.9 ms
2025-05-30 23:15:00,15.8 ms
2025-05-30 23:15:15,15.7 ms
2025-05-30 23:15:30,15.6 ms
2025-05-30 23:15:45,15.5 ms
2025-05-30 23:16:00,15.8 ms
2025-05-30 23:16:15,18.2 ms
2025-05-30 23:16:30,17.7 ms
2025-05-30 23:16:45,17.4 ms
2025-05-30 23:17:00,15.4 ms
2025-05-30 23:17:15,14.6 ms
2025-05-30 23:17:30,13.6 ms
2025-05-30 23:17:45,12.6 ms
2025-05-30 23:18:00,12.4 ms
2025-05-30 23:18:15,12.5 ms
2025-05-30 23:18:30,11.9 ms
2025-05-30 23:18:45,8.35 ms
2025-05-30 23:19:00,8.12 ms
2025-05-30 23:19:15,8.07 ms
2025-05-30 23:19:30,14.6 ms
2025-05-30 23:19:45,15.4 ms
2025-05-30 23:20:00,14.0 ms
2025-05-30 23:20:15,13.7 ms
2025-05-30 23:20:30,10.5 ms
2025-05-30 23:20:45,12.9 ms
2025-05-30 23:21:00,13.7 ms
2025-05-30 23:21:15,13.6 ms
2025-05-30 23:21:30,12.5 ms
2025-05-30 23:21:45,12.2 ms
2025-05-30 23:22:00,11.6 ms
2025-05-30 23:22:15,10.7 ms
2025-05-30 23:22:30,11.9 ms
2025-05-30 23:22:45,10.5 ms
2025-05-30 23:23:00,10.0 ms
2025-05-30 23:23:15,9.01 ms
2025-05-30 23:23:30,8.37 ms
2025-05-30 23:23:45,8.48 ms
2025-05-30 23:24:00,8.04 ms
2025-05-30 23:24:15,8.33 ms
2025-05-30 23:24:30,8.32 ms
2025-05-30 23:24:45,8.33 ms
2025-05-30 23:25:00,11.4 ms
2025-05-30 23:25:15,11.0 ms
2025-05-30 23:25:30,10.8 ms
2025-05-30 23:25:45,8.59 ms

