"Time","histogram_quantile(
    0.99,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-30 23:05:45,
2025-05-30 23:06:00,168 ms
2025-05-30 23:06:15,157 ms
2025-05-30 23:06:30,104 ms
2025-05-30 23:06:45,83.1 ms
2025-05-30 23:07:00,41.9 ms
2025-05-30 23:07:15,35.7 ms
2025-05-30 23:07:30,27.7 ms
2025-05-30 23:07:45,22.0 ms
2025-05-30 23:08:00,19.3 ms
2025-05-30 23:08:15,14.9 ms
2025-05-30 23:08:30,14.6 ms
2025-05-30 23:08:45,25.2 ms
2025-05-30 23:09:00,38.0 ms
2025-05-30 23:09:15,41.9 ms
2025-05-30 23:09:30,39.5 ms
2025-05-30 23:09:45,38.2 ms
2025-05-30 23:10:00,23.2 ms
2025-05-30 23:10:15,27.5 ms
2025-05-30 23:10:30,28.6 ms
2025-05-30 23:10:45,32.7 ms
2025-05-30 23:11:00,27.9 ms
2025-05-30 23:11:15,33.0 ms
2025-05-30 23:11:30,33.1 ms
2025-05-30 23:11:45,35.4 ms
2025-05-30 23:12:00,32.8 ms
2025-05-30 23:12:15,34.9 ms
2025-05-30 23:12:30,40.0 ms
2025-05-30 23:12:45,38.8 ms
2025-05-30 23:13:00,42.8 ms
2025-05-30 23:13:15,43.3 ms
2025-05-30 23:13:30,41.6 ms
2025-05-30 23:13:45,39.0 ms
2025-05-30 23:14:00,31.1 ms
2025-05-30 23:14:15,56.7 ms
2025-05-30 23:14:30,56.8 ms
2025-05-30 23:14:45,54.4 ms
2025-05-30 23:15:00,38.7 ms
2025-05-30 23:15:15,42.3 ms
2025-05-30 23:15:30,43.1 ms
2025-05-30 23:15:45,44.2 ms
2025-05-30 23:16:00,38.9 ms
2025-05-30 23:16:15,50.3 ms
2025-05-30 23:16:30,48.9 ms
2025-05-30 23:16:45,47.6 ms
2025-05-30 23:17:00,39.0 ms
2025-05-30 23:17:15,32.5 ms
2025-05-30 23:17:30,30.6 ms
2025-05-30 23:17:45,26.8 ms
2025-05-30 23:18:00,33.0 ms
2025-05-30 23:18:15,32.2 ms
2025-05-30 23:18:30,32.8 ms
2025-05-30 23:18:45,21.0 ms
2025-05-30 23:19:00,13.9 ms
2025-05-30 23:19:15,13.9 ms
2025-05-30 23:19:30,34.4 ms
2025-05-30 23:19:45,36.4 ms
2025-05-30 23:20:00,32.8 ms
2025-05-30 23:20:15,33.0 ms
2025-05-30 23:20:30,26.8 ms
2025-05-30 23:20:45,32.4 ms
2025-05-30 23:21:00,33.7 ms
2025-05-30 23:21:15,34.0 ms
2025-05-30 23:21:30,32.8 ms
2025-05-30 23:21:45,30.4 ms
2025-05-30 23:22:00,26.3 ms
2025-05-30 23:22:15,26.4 ms
2025-05-30 23:22:30,29.2 ms
2025-05-30 23:22:45,25.7 ms
2025-05-30 23:23:00,26.0 ms
2025-05-30 23:23:15,19.6 ms
2025-05-30 23:23:30,17.9 ms
2025-05-30 23:23:45,18.0 ms
2025-05-30 23:24:00,11.1 ms
2025-05-30 23:24:15,16.1 ms
2025-05-30 23:24:30,16.5 ms
2025-05-30 23:24:45,17.7 ms
2025-05-30 23:25:00,24.9 ms
2025-05-30 23:25:15,23.9 ms
2025-05-30 23:25:30,23.1 ms
2025-05-30 23:25:45,18.7 ms

