"Time","local"
2025-05-30 23:05:45,0 B/s
2025-05-30 23:06:00,0 B/s
2025-05-30 23:06:15,0 B/s
2025-05-30 23:06:30,0 B/s
2025-05-30 23:06:45,0 B/s
2025-05-30 23:07:00,7.01 kB/s
2025-05-30 23:07:15,13.7 kB/s
2025-05-30 23:07:30,13.7 kB/s
2025-05-30 23:07:45,13.7 kB/s
2025-05-30 23:08:00,9.61 kB/s
2025-05-30 23:08:15,5.90 kB/s
2025-05-30 23:08:30,5.90 kB/s
2025-05-30 23:08:45,5.88 kB/s
2025-05-30 23:09:00,6.07 kB/s
2025-05-30 23:09:15,6.17 kB/s
2025-05-30 23:09:30,6.17 kB/s
2025-05-30 23:09:45,6.17 kB/s
2025-05-30 23:10:00,7.30 kB/s
2025-05-30 23:10:15,8.68 kB/s
2025-05-30 23:10:30,8.68 kB/s
2025-05-30 23:10:45,8.68 kB/s
2025-05-30 23:11:00,11.6 kB/s
2025-05-30 23:11:15,14.1 kB/s
2025-05-30 23:11:30,14.1 kB/s
2025-05-30 23:11:45,14.1 kB/s
2025-05-30 23:12:00,13.5 kB/s
2025-05-30 23:12:15,13.1 kB/s
2025-05-30 23:12:30,13.1 kB/s
2025-05-30 23:12:45,13.1 kB/s
2025-05-30 23:13:00,14.8 kB/s
2025-05-30 23:13:15,16.6 kB/s
2025-05-30 23:13:30,16.6 kB/s
2025-05-30 23:13:45,16.6 kB/s
2025-05-30 23:14:00,17.4 kB/s
2025-05-30 23:14:15,18.4 kB/s
2025-05-30 23:14:30,18.4 kB/s
2025-05-30 23:14:45,18.4 kB/s
2025-05-30 23:15:00,18.0 kB/s
2025-05-30 23:15:15,17.4 kB/s
2025-05-30 23:15:30,17.4 kB/s
2025-05-30 23:15:45,17.4 kB/s
2025-05-30 23:16:00,17.0 kB/s
2025-05-30 23:16:15,16.6 kB/s
2025-05-30 23:16:30,16.6 kB/s
2025-05-30 23:16:45,16.6 kB/s
2025-05-30 23:17:00,22.5 kB/s
2025-05-30 23:17:15,28.9 kB/s
2025-05-30 23:17:30,28.9 kB/s
2025-05-30 23:17:45,28.9 kB/s
2025-05-30 23:18:00,20.4 kB/s
2025-05-30 23:18:15,11.6 kB/s
2025-05-30 23:18:30,11.6 kB/s
2025-05-30 23:18:45,11.6 kB/s
2025-05-30 23:19:00,8.16 kB/s
2025-05-30 23:19:15,4.79 kB/s
2025-05-30 23:19:30,4.79 kB/s
2025-05-30 23:19:45,4.75 kB/s
2025-05-30 23:20:00,9.58 kB/s
2025-05-30 23:20:15,14.3 kB/s
2025-05-30 23:20:30,14.3 kB/s
2025-05-30 23:20:45,14.3 kB/s
2025-05-30 23:21:00,13.6 kB/s
2025-05-30 23:21:15,13.1 kB/s
2025-05-30 23:21:30,13.1 kB/s
2025-05-30 23:21:45,13.1 kB/s
2025-05-30 23:22:00,10.2 kB/s
2025-05-30 23:22:15,8.10 kB/s
2025-05-30 23:22:30,8.10 kB/s
2025-05-30 23:22:45,8.10 kB/s
2025-05-30 23:23:00,7.27 kB/s
2025-05-30 23:23:15,5.72 kB/s
2025-05-30 23:23:30,5.71 kB/s
2025-05-30 23:23:45,5.71 kB/s
2025-05-30 23:24:00,4.34 kB/s
2025-05-30 23:24:15,3.04 kB/s
2025-05-30 23:24:30,3.04 kB/s
2025-05-30 23:24:45,3.04 kB/s
2025-05-30 23:25:00,3.45 kB/s
2025-05-30 23:25:15,3.85 kB/s
2025-05-30 23:25:30,3.85 kB/s
2025-05-30 23:25:45,3.85 kB/s

