"Time","histogram_quantile(
    0.90,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 13:57:15,3.31 ms
2025-05-31 13:57:30,3.43 ms
2025-05-31 13:57:45,7.01 ms
2025-05-31 13:58:00,6.41 ms
2025-05-31 13:58:15,6.31 ms
2025-05-31 13:58:30,5.81 ms
2025-05-31 13:58:45,5.08 ms
2025-05-31 13:59:00,5.20 ms
2025-05-31 13:59:15,4.92 ms
2025-05-31 13:59:30,5.00 ms
2025-05-31 13:59:45,3.98 ms
2025-05-31 14:00:00,2.91 ms
2025-05-31 14:00:15,13.0 ms
2025-05-31 14:00:30,10.6 ms
2025-05-31 14:00:45,8.77 ms
2025-05-31 14:01:00,7.77 ms
2025-05-31 14:01:15,4.82 ms
2025-05-31 14:01:30,4.57 ms
2025-05-31 14:01:45,4.43 ms
2025-05-31 14:02:00,5.41 ms
2025-05-31 14:02:15,6.01 ms
2025-05-31 14:02:30,5.12 ms
2025-05-31 14:02:45,5.58 ms
2025-05-31 14:03:00,5.48 ms
2025-05-31 14:03:15,6.82 ms
2025-05-31 14:03:30,6.73 ms
2025-05-31 14:03:45,7.43 ms
2025-05-31 14:04:00,6.00 ms
2025-05-31 14:04:15,6.96 ms
2025-05-31 14:04:30,6.68 ms
2025-05-31 14:04:45,6.86 ms
2025-05-31 14:05:00,6.27 ms
2025-05-31 14:05:15,6.42 ms
2025-05-31 14:05:30,5.89 ms
2025-05-31 14:05:45,6.02 ms
2025-05-31 14:06:00,5.78 ms
2025-05-31 14:06:15,6.80 ms
2025-05-31 14:06:30,6.70 ms
2025-05-31 14:06:45,6.29 ms
2025-05-31 14:07:00,6.17 ms
2025-05-31 14:07:15,6.04 ms
2025-05-31 14:07:30,6.66 ms
2025-05-31 14:07:45,6.78 ms
2025-05-31 14:08:00,6.55 ms
2025-05-31 14:08:15,6.50 ms
2025-05-31 14:08:30,6.21 ms
2025-05-31 14:08:45,6.14 ms
2025-05-31 14:09:00,5.85 ms
2025-05-31 14:09:15,6.28 ms
2025-05-31 14:09:30,5.87 ms
2025-05-31 14:09:45,5.42 ms
2025-05-31 14:10:00,4.82 ms
2025-05-31 14:10:15,2.90 ms
2025-05-31 14:10:30,3.08 ms
2025-05-31 14:10:45,3.20 ms
2025-05-31 14:11:00,5.78 ms
2025-05-31 14:11:15,6.01 ms
2025-05-31 14:11:30,5.46 ms
2025-05-31 14:11:45,5.27 ms
2025-05-31 14:12:00,4.14 ms
2025-05-31 14:12:15,5.46 ms
2025-05-31 14:12:30,5.58 ms
2025-05-31 14:12:45,5.47 ms
2025-05-31 14:13:00,4.92 ms
2025-05-31 14:13:15,4.53 ms
2025-05-31 14:13:30,5.05 ms
2025-05-31 14:13:45,4.67 ms
2025-05-31 14:14:00,4.98 ms
2025-05-31 14:14:15,4.50 ms
2025-05-31 14:14:30,4.16 ms
2025-05-31 14:14:45,3.70 ms
2025-05-31 14:15:00,2.92 ms
2025-05-31 14:15:15,3.52 ms
2025-05-31 14:15:30,3.37 ms
2025-05-31 14:15:45,3.07 ms
2025-05-31 14:16:00,2.77 ms
2025-05-31 14:16:15,2.99 ms
2025-05-31 14:16:30,5.02 ms
2025-05-31 14:16:45,4.69 ms
2025-05-31 14:17:00,4.34 ms
2025-05-31 14:17:15,3.56 ms

