"Time","histogram_quantile(
    0.95,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 13:57:15,4.90 ms
2025-05-31 13:57:30,5.74 ms
2025-05-31 13:57:45,10.2 ms
2025-05-31 13:58:00,8.89 ms
2025-05-31 13:58:15,8.60 ms
2025-05-31 13:58:30,8.10 ms
2025-05-31 13:58:45,7.05 ms
2025-05-31 13:59:00,7.24 ms
2025-05-31 13:59:15,7.26 ms
2025-05-31 13:59:30,7.17 ms
2025-05-31 13:59:45,6.23 ms
2025-05-31 14:00:00,4.52 ms
2025-05-31 14:00:15,23.5 ms
2025-05-31 14:00:30,21.6 ms
2025-05-31 14:00:45,18.6 ms
2025-05-31 14:01:00,15.2 ms
2025-05-31 14:01:15,7.02 ms
2025-05-31 14:01:30,6.68 ms
2025-05-31 14:01:45,6.98 ms
2025-05-31 14:02:00,7.83 ms
2025-05-31 14:02:15,8.79 ms
2025-05-31 14:02:30,7.81 ms
2025-05-31 14:02:45,8.06 ms
2025-05-31 14:03:00,7.54 ms
2025-05-31 14:03:15,8.98 ms
2025-05-31 14:03:30,8.85 ms
2025-05-31 14:03:45,11.4 ms
2025-05-31 14:04:00,8.54 ms
2025-05-31 14:04:15,9.73 ms
2025-05-31 14:04:30,9.23 ms
2025-05-31 14:04:45,9.28 ms
2025-05-31 14:05:00,8.26 ms
2025-05-31 14:05:15,8.59 ms
2025-05-31 14:05:30,8.61 ms
2025-05-31 14:05:45,8.52 ms
2025-05-31 14:06:00,8.35 ms
2025-05-31 14:06:15,9.58 ms
2025-05-31 14:06:30,9.51 ms
2025-05-31 14:06:45,8.97 ms
2025-05-31 14:07:00,9.01 ms
2025-05-31 14:07:15,8.17 ms
2025-05-31 14:07:30,9.17 ms
2025-05-31 14:07:45,9.18 ms
2025-05-31 14:08:00,8.80 ms
2025-05-31 14:08:15,8.43 ms
2025-05-31 14:08:30,7.92 ms
2025-05-31 14:08:45,7.70 ms
2025-05-31 14:09:00,7.40 ms
2025-05-31 14:09:15,8.92 ms
2025-05-31 14:09:30,8.33 ms
2025-05-31 14:09:45,8.05 ms
2025-05-31 14:10:00,6.62 ms
2025-05-31 14:10:15,4.17 ms
2025-05-31 14:10:30,4.45 ms
2025-05-31 14:10:45,4.89 ms
2025-05-31 14:11:00,8.31 ms
2025-05-31 14:11:15,7.85 ms
2025-05-31 14:11:30,7.28 ms
2025-05-31 14:11:45,6.90 ms
2025-05-31 14:12:00,5.58 ms
2025-05-31 14:12:15,8.54 ms
2025-05-31 14:12:30,8.44 ms
2025-05-31 14:12:45,8.06 ms
2025-05-31 14:13:00,7.10 ms
2025-05-31 14:13:15,6.25 ms
2025-05-31 14:13:30,7.11 ms
2025-05-31 14:13:45,6.65 ms
2025-05-31 14:14:00,6.88 ms
2025-05-31 14:14:15,6.24 ms
2025-05-31 14:14:30,5.70 ms
2025-05-31 14:14:45,5.37 ms
2025-05-31 14:15:00,3.77 ms
2025-05-31 14:15:15,5.58 ms
2025-05-31 14:15:30,5.55 ms
2025-05-31 14:15:45,5.37 ms
2025-05-31 14:16:00,4.56 ms
2025-05-31 14:16:15,4.89 ms
2025-05-31 14:16:30,7.44 ms
2025-05-31 14:16:45,7.04 ms
2025-05-31 14:17:00,6.53 ms
2025-05-31 14:17:15,5.39 ms

