"Time","histogram_quantile(
    0.95,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 17:32:00,2.85 ms
2025-05-31 17:32:15,5.80 ms
2025-05-31 17:32:30,6.90 ms
2025-05-31 17:32:45,6.44 ms
2025-05-31 17:33:00,6.05 ms
2025-05-31 17:33:15,5.64 ms
2025-05-31 17:33:30,5.73 ms
2025-05-31 17:33:45,6.05 ms
2025-05-31 17:34:00,4.82 ms
2025-05-31 17:34:15,5.07 ms
2025-05-31 17:34:30,3.07 ms
2025-05-31 17:34:45,3.40 ms
2025-05-31 17:35:00,5.40 ms
2025-05-31 17:35:15,7.53 ms
2025-05-31 17:35:30,7.06 ms
2025-05-31 17:35:45,6.37 ms
2025-05-31 17:36:00,4.76 ms
2025-05-31 17:36:15,4.10 ms
2025-05-31 17:36:30,4.28 ms
2025-05-31 17:36:45,5.49 ms
2025-05-31 17:37:00,5.08 ms
2025-05-31 17:37:15,5.15 ms
2025-05-31 17:37:30,5.18 ms
2025-05-31 17:37:45,5.20 ms
2025-05-31 17:38:00,5.37 ms
2025-05-31 17:38:15,5.27 ms
2025-05-31 17:38:30,5.56 ms
2025-05-31 17:38:45,5.48 ms
2025-05-31 17:39:00,5.52 ms
2025-05-31 17:39:15,5.95 ms
2025-05-31 17:39:30,5.83 ms
2025-05-31 17:39:45,5.49 ms
2025-05-31 17:40:00,5.22 ms
2025-05-31 17:40:15,4.91 ms
2025-05-31 17:40:30,5.07 ms
2025-05-31 17:40:45,5.22 ms
2025-05-31 17:41:00,5.18 ms
2025-05-31 17:41:15,5.37 ms
2025-05-31 17:41:30,5.23 ms
2025-05-31 17:41:45,5.16 ms
2025-05-31 17:42:00,4.70 ms
2025-05-31 17:42:15,5.44 ms
2025-05-31 17:42:30,5.44 ms
2025-05-31 17:42:45,5.42 ms
2025-05-31 17:43:00,5.14 ms
2025-05-31 17:43:15,4.98 ms
2025-05-31 17:43:30,5.00 ms
2025-05-31 17:43:45,5.16 ms
2025-05-31 17:44:00,5.07 ms
2025-05-31 17:44:15,4.73 ms
2025-05-31 17:44:30,4.61 ms
2025-05-31 17:44:45,3.94 ms
2025-05-31 17:45:00,2.87 ms
2025-05-31 17:45:15,3.02 ms
2025-05-31 17:45:30,3.18 ms
2025-05-31 17:45:45,5.18 ms
2025-05-31 17:46:00,5.07 ms
2025-05-31 17:46:15,4.95 ms
2025-05-31 17:46:30,4.95 ms
2025-05-31 17:46:45,4.57 ms
2025-05-31 17:47:00,4.81 ms
2025-05-31 17:47:15,5.02 ms
2025-05-31 17:47:30,5.17 ms
2025-05-31 17:47:45,5.28 ms
2025-05-31 17:48:00,4.61 ms
2025-05-31 17:48:15,4.89 ms
2025-05-31 17:48:30,4.93 ms
2025-05-31 17:48:45,5.24 ms
2025-05-31 17:49:00,4.72 ms
2025-05-31 17:49:15,4.78 ms
2025-05-31 17:49:30,3.11 ms
2025-05-31 17:49:45,3.12 ms
2025-05-31 17:50:00,2.91 ms
2025-05-31 17:50:15,3.65 ms
2025-05-31 17:50:30,3.50 ms
2025-05-31 17:50:45,3.42 ms
2025-05-31 17:51:00,3.48 ms
2025-05-31 17:51:15,5.72 ms
2025-05-31 17:51:30,5.49 ms
2025-05-31 17:51:45,5.56 ms
2025-05-31 17:52:00,3.50 ms

