"Time","histogram_quantile(
    0.90,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 17:32:00,2.64 ms
2025-05-31 17:32:15,4.33 ms
2025-05-31 17:32:30,5.17 ms
2025-05-31 17:32:45,4.84 ms
2025-05-31 17:33:00,4.65 ms
2025-05-31 17:33:15,4.18 ms
2025-05-31 17:33:30,4.15 ms
2025-05-31 17:33:45,4.33 ms
2025-05-31 17:34:00,3.47 ms
2025-05-31 17:34:15,3.72 ms
2025-05-31 17:34:30,2.68 ms
2025-05-31 17:34:45,2.71 ms
2025-05-31 17:35:00,4.06 ms
2025-05-31 17:35:15,5.19 ms
2025-05-31 17:35:30,5.09 ms
2025-05-31 17:35:45,4.60 ms
2025-05-31 17:36:00,3.56 ms
2025-05-31 17:36:15,3.18 ms
2025-05-31 17:36:30,3.43 ms
2025-05-31 17:36:45,4.30 ms
2025-05-31 17:37:00,4.05 ms
2025-05-31 17:37:15,4.06 ms
2025-05-31 17:37:30,4.18 ms
2025-05-31 17:37:45,4.17 ms
2025-05-31 17:38:00,4.41 ms
2025-05-31 17:38:15,4.12 ms
2025-05-31 17:38:30,4.23 ms
2025-05-31 17:38:45,4.19 ms
2025-05-31 17:39:00,4.34 ms
2025-05-31 17:39:15,4.72 ms
2025-05-31 17:39:30,4.75 ms
2025-05-31 17:39:45,4.56 ms
2025-05-31 17:40:00,4.17 ms
2025-05-31 17:40:15,3.97 ms
2025-05-31 17:40:30,4.07 ms
2025-05-31 17:40:45,4.18 ms
2025-05-31 17:41:00,4.18 ms
2025-05-31 17:41:15,4.22 ms
2025-05-31 17:41:30,4.11 ms
2025-05-31 17:41:45,4.01 ms
2025-05-31 17:42:00,3.96 ms
2025-05-31 17:42:15,4.39 ms
2025-05-31 17:42:30,4.50 ms
2025-05-31 17:42:45,4.34 ms
2025-05-31 17:43:00,4.17 ms
2025-05-31 17:43:15,4.14 ms
2025-05-31 17:43:30,4.14 ms
2025-05-31 17:43:45,4.18 ms
2025-05-31 17:44:00,4.08 ms
2025-05-31 17:44:15,3.86 ms
2025-05-31 17:44:30,3.80 ms
2025-05-31 17:44:45,3.17 ms
2025-05-31 17:45:00,2.54 ms
2025-05-31 17:45:15,2.64 ms
2025-05-31 17:45:30,2.68 ms
2025-05-31 17:45:45,4.09 ms
2025-05-31 17:46:00,4.11 ms
2025-05-31 17:46:15,4.03 ms
2025-05-31 17:46:30,4.02 ms
2025-05-31 17:46:45,3.59 ms
2025-05-31 17:47:00,3.90 ms
2025-05-31 17:47:15,4.02 ms
2025-05-31 17:47:30,4.08 ms
2025-05-31 17:47:45,4.01 ms
2025-05-31 17:48:00,3.57 ms
2025-05-31 17:48:15,3.80 ms
2025-05-31 17:48:30,3.79 ms
2025-05-31 17:48:45,4.08 ms
2025-05-31 17:49:00,3.69 ms
2025-05-31 17:49:15,3.76 ms
2025-05-31 17:49:30,2.72 ms
2025-05-31 17:49:45,2.72 ms
2025-05-31 17:50:00,2.60 ms
2025-05-31 17:50:15,2.74 ms
2025-05-31 17:50:30,2.77 ms
2025-05-31 17:50:45,2.77 ms
2025-05-31 17:51:00,2.77 ms
2025-05-31 17:51:15,4.01 ms
2025-05-31 17:51:30,3.96 ms
2025-05-31 17:51:45,3.93 ms
2025-05-31 17:52:00,2.72 ms

