"Time","histogram_quantile(
    0.95,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-30 23:28:45,
2025-05-30 23:29:00,25.4 ms
2025-05-30 23:29:15,28.6 ms
2025-05-30 23:29:30,26.2 ms
2025-05-30 23:29:45,23.0 ms
2025-05-30 23:30:00,15.3 ms
2025-05-30 23:30:15,14.8 ms
2025-05-30 23:30:30,14.0 ms
2025-05-30 23:30:45,13.2 ms
2025-05-30 23:31:00,11.8 ms
2025-05-30 23:31:15,8.92 ms
2025-05-30 23:31:30,11.2 ms
2025-05-30 23:31:45,21.1 ms
2025-05-30 23:32:00,21.6 ms
2025-05-30 23:32:15,20.9 ms
2025-05-30 23:32:30,20.3 ms
2025-05-30 23:32:45,13.5 ms
2025-05-30 23:33:00,13.1 ms
2025-05-30 23:33:15,16.3 ms
2025-05-30 23:33:30,19.3 ms
2025-05-30 23:33:45,15.6 ms
2025-05-30 23:34:00,17.1 ms
2025-05-30 23:34:15,19.7 ms
2025-05-30 23:34:30,21.1 ms
2025-05-30 23:34:45,21.4 ms
2025-05-30 23:35:00,20.5 ms
2025-05-30 23:35:15,23.5 ms
2025-05-30 23:35:30,24.1 ms
2025-05-30 23:35:45,21.8 ms
2025-05-30 23:36:00,21.5 ms
2025-05-30 23:36:15,22.9 ms
2025-05-30 23:36:30,23.7 ms
2025-05-30 23:36:45,22.9 ms
2025-05-30 23:37:00,19.4 ms
2025-05-30 23:37:15,18.8 ms
2025-05-30 23:37:30,20.5 ms
2025-05-30 23:37:45,21.4 ms
2025-05-30 23:38:00,21.5 ms
2025-05-30 23:38:15,20.8 ms
2025-05-30 23:38:30,20.7 ms
2025-05-30 23:38:45,20.0 ms
2025-05-30 23:39:00,22.7 ms
2025-05-30 23:39:15,26.6 ms
2025-05-30 23:39:30,25.1 ms
2025-05-30 23:39:45,23.7 ms
2025-05-30 23:40:00,20.5 ms
2025-05-30 23:40:15,20.6 ms
2025-05-30 23:40:30,19.9 ms
2025-05-30 23:40:45,20.4 ms
2025-05-30 23:41:00,16.2 ms
2025-05-30 23:41:15,15.0 ms
2025-05-30 23:41:30,9.05 ms
2025-05-30 23:41:45,8.31 ms
2025-05-30 23:42:00,8.24 ms
2025-05-30 23:42:15,16.7 ms
2025-05-30 23:42:30,18.7 ms
2025-05-30 23:42:45,17.8 ms
2025-05-30 23:43:00,16.7 ms
2025-05-30 23:43:15,15.3 ms
2025-05-30 23:43:30,18.4 ms
2025-05-30 23:43:45,19.5 ms
2025-05-30 23:44:00,19.0 ms
2025-05-30 23:44:15,19.8 ms
2025-05-30 23:44:30,20.4 ms
2025-05-30 23:44:45,18.5 ms
2025-05-30 23:45:00,12.6 ms
2025-05-30 23:45:15,15.2 ms
2025-05-30 23:45:30,15.0 ms
2025-05-30 23:45:45,14.4 ms
2025-05-30 23:46:00,12.6 ms
2025-05-30 23:46:15,8.38 ms
2025-05-30 23:46:30,8.53 ms
2025-05-30 23:46:45,8.36 ms
2025-05-30 23:47:00,8.36 ms
2025-05-30 23:47:15,9.26 ms
2025-05-30 23:47:30,9.39 ms
2025-05-30 23:47:45,13.3 ms
2025-05-30 23:48:00,12.9 ms
2025-05-30 23:48:15,13.1 ms
2025-05-30 23:48:30,12.6 ms
2025-05-30 23:48:45,8.87 ms

