"Time","histogram_quantile(
    0.90,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-30 23:28:45,
2025-05-30 23:29:00,15.7 ms
2025-05-30 23:29:15,18.3 ms
2025-05-30 23:29:30,16.5 ms
2025-05-30 23:29:45,15.5 ms
2025-05-30 23:30:00,11.7 ms
2025-05-30 23:30:15,11.7 ms
2025-05-30 23:30:30,11.2 ms
2025-05-30 23:30:45,10.7 ms
2025-05-30 23:31:00,9.54 ms
2025-05-30 23:31:15,7.93 ms
2025-05-30 23:31:30,8.49 ms
2025-05-30 23:31:45,15.5 ms
2025-05-30 23:32:00,15.4 ms
2025-05-30 23:32:15,15.0 ms
2025-05-30 23:32:30,14.3 ms
2025-05-30 23:32:45,10.9 ms
2025-05-30 23:33:00,9.73 ms
2025-05-30 23:33:15,12.6 ms
2025-05-30 23:33:30,14.4 ms
2025-05-30 23:33:45,11.8 ms
2025-05-30 23:34:00,13.0 ms
2025-05-30 23:34:15,14.1 ms
2025-05-30 23:34:30,15.6 ms
2025-05-30 23:34:45,16.0 ms
2025-05-30 23:35:00,14.7 ms
2025-05-30 23:35:15,16.2 ms
2025-05-30 23:35:30,17.0 ms
2025-05-30 23:35:45,15.7 ms
2025-05-30 23:36:00,16.0 ms
2025-05-30 23:36:15,16.8 ms
2025-05-30 23:36:30,17.7 ms
2025-05-30 23:36:45,16.3 ms
2025-05-30 23:37:00,13.9 ms
2025-05-30 23:37:15,13.6 ms
2025-05-30 23:37:30,15.2 ms
2025-05-30 23:37:45,15.9 ms
2025-05-30 23:38:00,15.5 ms
2025-05-30 23:38:15,14.9 ms
2025-05-30 23:38:30,15.2 ms
2025-05-30 23:38:45,15.0 ms
2025-05-30 23:39:00,17.2 ms
2025-05-30 23:39:15,19.6 ms
2025-05-30 23:39:30,18.2 ms
2025-05-30 23:39:45,17.0 ms
2025-05-30 23:40:00,15.1 ms
2025-05-30 23:40:15,15.1 ms
2025-05-30 23:40:30,14.6 ms
2025-05-30 23:40:45,14.6 ms
2025-05-30 23:41:00,12.4 ms
2025-05-30 23:41:15,11.6 ms
2025-05-30 23:41:30,7.98 ms
2025-05-30 23:41:45,7.77 ms
2025-05-30 23:42:00,7.76 ms
2025-05-30 23:42:15,12.5 ms
2025-05-30 23:42:30,14.5 ms
2025-05-30 23:42:45,13.7 ms
2025-05-30 23:43:00,13.2 ms
2025-05-30 23:43:15,11.9 ms
2025-05-30 23:43:30,13.2 ms
2025-05-30 23:43:45,14.0 ms
2025-05-30 23:44:00,13.6 ms
2025-05-30 23:44:15,14.0 ms
2025-05-30 23:44:30,14.4 ms
2025-05-30 23:44:45,13.4 ms
2025-05-30 23:45:00,9.71 ms
2025-05-30 23:45:15,11.6 ms
2025-05-30 23:45:30,11.4 ms
2025-05-30 23:45:45,11.0 ms
2025-05-30 23:46:00,9.41 ms
2025-05-30 23:46:15,7.87 ms
2025-05-30 23:46:30,7.91 ms
2025-05-30 23:46:45,7.85 ms
2025-05-30 23:47:00,7.73 ms
2025-05-30 23:47:15,8.07 ms
2025-05-30 23:47:30,8.17 ms
2025-05-30 23:47:45,10.3 ms
2025-05-30 23:48:00,9.66 ms
2025-05-30 23:48:15,10.0 ms
2025-05-30 23:48:30,9.49 ms
2025-05-30 23:48:45,7.97 ms

