"Time","local"
2025-05-30 23:28:45,0 B/s
2025-05-30 23:29:00,11.5 kB/s
2025-05-30 23:29:15,22.3 kB/s
2025-05-30 23:29:30,22.3 kB/s
2025-05-30 23:29:45,22.3 kB/s
2025-05-30 23:30:00,16.4 kB/s
2025-05-30 23:30:15,11.7 kB/s
2025-05-30 23:30:30,11.7 kB/s
2025-05-30 23:30:45,11.7 kB/s
2025-05-30 23:31:00,8.50 kB/s
2025-05-30 23:31:15,5.05 kB/s
2025-05-30 23:31:30,5.05 kB/s
2025-05-30 23:31:45,5.05 kB/s
2025-05-30 23:32:00,7.15 kB/s
2025-05-30 23:32:15,8.78 kB/s
2025-05-30 23:32:30,8.78 kB/s
2025-05-30 23:32:45,8.78 kB/s
2025-05-30 23:33:00,7.75 kB/s
2025-05-30 23:33:15,7.01 kB/s
2025-05-30 23:33:30,7.01 kB/s
2025-05-30 23:33:45,7.01 kB/s
2025-05-30 23:34:00,11.5 kB/s
2025-05-30 23:34:15,16.1 kB/s
2025-05-30 23:34:30,16.1 kB/s
2025-05-30 23:34:45,16.1 kB/s
2025-05-30 23:35:00,13.5 kB/s
2025-05-30 23:35:15,10.9 kB/s
2025-05-30 23:35:30,10.9 kB/s
2025-05-30 23:35:45,10.9 kB/s
2025-05-30 23:36:00,15.2 kB/s
2025-05-30 23:36:15,19.5 kB/s
2025-05-30 23:36:30,19.5 kB/s
2025-05-30 23:36:45,19.5 kB/s
2025-05-30 23:37:00,17.4 kB/s
2025-05-30 23:37:15,15.6 kB/s
2025-05-30 23:37:30,15.6 kB/s
2025-05-30 23:37:45,15.6 kB/s
2025-05-30 23:38:00,17.3 kB/s
2025-05-30 23:38:15,18.5 kB/s
2025-05-30 23:38:30,17.8 kB/s
2025-05-30 23:38:45,17.8 kB/s
2025-05-30 23:39:00,17.9 kB/s
2025-05-30 23:39:15,18.0 kB/s
2025-05-30 23:39:30,18.0 kB/s
2025-05-30 23:39:45,18.0 kB/s
2025-05-30 23:40:00,22.0 kB/s
2025-05-30 23:40:15,25.8 kB/s
2025-05-30 23:40:30,25.8 kB/s
2025-05-30 23:40:45,25.8 kB/s
2025-05-30 23:41:00,19.2 kB/s
2025-05-30 23:41:15,12.5 kB/s
2025-05-30 23:41:30,12.5 kB/s
2025-05-30 23:41:45,12.5 kB/s
2025-05-30 23:42:00,8.19 kB/s
2025-05-30 23:42:15,3.68 kB/s
2025-05-30 23:42:30,3.68 kB/s
2025-05-30 23:42:45,3.68 kB/s
2025-05-30 23:43:00,9.43 kB/s
2025-05-30 23:43:15,15.1 kB/s
2025-05-30 23:43:30,15.1 kB/s
2025-05-30 23:43:45,15.1 kB/s
2025-05-30 23:44:00,14.9 kB/s
2025-05-30 23:44:15,15.2 kB/s
2025-05-30 23:44:30,15.2 kB/s
2025-05-30 23:44:45,15.2 kB/s
2025-05-30 23:45:00,11.2 kB/s
2025-05-30 23:45:15,6.81 kB/s
2025-05-30 23:45:30,6.81 kB/s
2025-05-30 23:45:45,6.81 kB/s
2025-05-30 23:46:00,5.93 kB/s
2025-05-30 23:46:15,5.07 kB/s
2025-05-30 23:46:30,5.04 kB/s
2025-05-30 23:46:45,5.04 kB/s
2025-05-30 23:47:00,3.92 kB/s
2025-05-30 23:47:15,2.82 kB/s
2025-05-30 23:47:30,2.82 kB/s
2025-05-30 23:47:45,2.82 kB/s
2025-05-30 23:48:00,3.90 kB/s
2025-05-30 23:48:15,5.02 kB/s
2025-05-30 23:48:30,5.02 kB/s
2025-05-30 23:48:45,4.98 kB/s

