"Time","histogram_quantile(
    0.95,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-30 22:43:30,
2025-05-30 22:43:45,282 ms
2025-05-30 22:44:00,83.4 ms
2025-05-30 22:44:15,72.1 ms
2025-05-30 22:44:30,29.2 ms
2025-05-30 22:44:45,24.0 ms
2025-05-30 22:45:00,17.3 ms
2025-05-30 22:45:15,16.1 ms
2025-05-30 22:45:30,13.9 ms
2025-05-30 22:45:45,13.3 ms
2025-05-30 22:46:00,8.35 ms
2025-05-30 22:46:15,9.77 ms
2025-05-30 22:46:30,18.9 ms
2025-05-30 22:46:45,20.2 ms
2025-05-30 22:47:00,19.1 ms
2025-05-30 22:47:15,18.4 ms
2025-05-30 22:47:30,11.8 ms
2025-05-30 22:47:45,14.2 ms
2025-05-30 22:48:00,18.2 ms
2025-05-30 22:48:15,30.7 ms
2025-05-30 22:48:30,24.4 ms
2025-05-30 22:48:45,23.7 ms
2025-05-30 22:49:00,21.0 ms
2025-05-30 22:49:15,22.6 ms
2025-05-30 22:49:30,24.1 ms
2025-05-30 22:49:45,19.9 ms
2025-05-30 22:50:00,16.5 ms
2025-05-30 22:50:15,19.8 ms
2025-05-30 22:50:30,20.6 ms
2025-05-30 22:50:45,24.4 ms
2025-05-30 22:51:00,23.5 ms
2025-05-30 22:51:15,25.2 ms
2025-05-30 22:51:30,21.7 ms
2025-05-30 22:51:45,21.5 ms
2025-05-30 22:52:00,20.3 ms
2025-05-30 22:52:15,23.8 ms
2025-05-30 22:52:30,22.7 ms
2025-05-30 22:52:45,22.1 ms
2025-05-30 22:53:00,19.9 ms
2025-05-30 22:53:15,21.7 ms
2025-05-30 22:53:30,21.5 ms
2025-05-30 22:53:45,22.4 ms
2025-05-30 22:54:00,23.1 ms
2025-05-30 22:54:15,25.1 ms
2025-05-30 22:54:30,24.5 ms
2025-05-30 22:54:45,23.6 ms
2025-05-30 22:55:00,21.1 ms
2025-05-30 22:55:15,22.3 ms
2025-05-30 22:55:30,24.7 ms
2025-05-30 22:55:45,21.7 ms
2025-05-30 22:56:00,19.6 ms
2025-05-30 22:56:15,11.0 ms
2025-05-30 22:56:30,10.6 ms
2025-05-30 22:56:45,12.2 ms
2025-05-30 22:57:00,15.9 ms
2025-05-30 22:57:15,21.1 ms
2025-05-30 22:57:30,19.2 ms
2025-05-30 22:57:45,18.7 ms
2025-05-30 22:58:00,13.8 ms
2025-05-30 22:58:15,20.0 ms
2025-05-30 22:58:30,21.9 ms
2025-05-30 22:58:45,20.8 ms
2025-05-30 22:59:00,18.4 ms
2025-05-30 22:59:15,16.2 ms
2025-05-30 22:59:30,14.7 ms
2025-05-30 22:59:45,13.5 ms
2025-05-30 23:00:00,14.9 ms
2025-05-30 23:00:15,17.2 ms
2025-05-30 23:00:30,18.4 ms
2025-05-30 23:00:45,17.4 ms
2025-05-30 23:01:00,10.7 ms
2025-05-30 23:01:15,9.82 ms
2025-05-30 23:01:30,9.30 ms
2025-05-30 23:01:45,9.22 ms
2025-05-30 23:02:00,8.26 ms
2025-05-30 23:02:15,9.05 ms
2025-05-30 23:02:30,14.8 ms
2025-05-30 23:02:45,13.5 ms
2025-05-30 23:03:00,12.6 ms
2025-05-30 23:03:15,11.6 ms
2025-05-30 23:03:30,8.76 ms

