"Time","histogram_quantile(
    0.99,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-30 22:43:30,
2025-05-30 22:43:45,416 ms
2025-05-30 22:44:00,337 ms
2025-05-30 22:44:15,312 ms
2025-05-30 22:44:30,182 ms
2025-05-30 22:44:45,98.2 ms
2025-05-30 22:45:00,35.2 ms
2025-05-30 22:45:15,30.4 ms
2025-05-30 22:45:30,27.6 ms
2025-05-30 22:45:45,25.4 ms
2025-05-30 22:46:00,13.3 ms
2025-05-30 22:46:15,16.9 ms
2025-05-30 22:46:30,33.5 ms
2025-05-30 22:46:45,35.3 ms
2025-05-30 22:47:00,34.5 ms
2025-05-30 22:47:15,33.3 ms
2025-05-30 22:47:30,21.5 ms
2025-05-30 22:47:45,23.6 ms
2025-05-30 22:48:00,28.7 ms
2025-05-30 22:48:15,88.6 ms
2025-05-30 22:48:30,79.0 ms
2025-05-30 22:48:45,72.4 ms
2025-05-30 22:49:00,40.2 ms
2025-05-30 22:49:15,44.2 ms
2025-05-30 22:49:30,50.3 ms
2025-05-30 22:49:45,41.8 ms
2025-05-30 22:50:00,29.2 ms
2025-05-30 22:50:15,32.5 ms
2025-05-30 22:50:30,34.7 ms
2025-05-30 22:50:45,46.0 ms
2025-05-30 22:51:00,46.4 ms
2025-05-30 22:51:15,57.0 ms
2025-05-30 22:51:30,56.6 ms
2025-05-30 22:51:45,52.8 ms
2025-05-30 22:52:00,36.6 ms
2025-05-30 22:52:15,44.2 ms
2025-05-30 22:52:30,43.6 ms
2025-05-30 22:52:45,45.6 ms
2025-05-30 22:53:00,41.6 ms
2025-05-30 22:53:15,44.0 ms
2025-05-30 22:53:30,37.8 ms
2025-05-30 22:53:45,42.0 ms
2025-05-30 22:54:00,40.9 ms
2025-05-30 22:54:15,45.7 ms
2025-05-30 22:54:30,43.0 ms
2025-05-30 22:54:45,42.1 ms
2025-05-30 22:55:00,36.8 ms
2025-05-30 22:55:15,39.8 ms
2025-05-30 22:55:30,54.6 ms
2025-05-30 22:55:45,54.2 ms
2025-05-30 22:56:00,46.5 ms
2025-05-30 22:56:15,33.9 ms
2025-05-30 22:56:30,24.6 ms
2025-05-30 22:56:45,35.8 ms
2025-05-30 22:57:00,25.2 ms
2025-05-30 22:57:15,41.0 ms
2025-05-30 22:57:30,37.0 ms
2025-05-30 22:57:45,36.3 ms
2025-05-30 22:58:00,26.3 ms
2025-05-30 22:58:15,40.7 ms
2025-05-30 22:58:30,42.9 ms
2025-05-30 22:58:45,41.3 ms
2025-05-30 22:59:00,39.2 ms
2025-05-30 22:59:15,28.1 ms
2025-05-30 22:59:30,23.8 ms
2025-05-30 22:59:45,21.8 ms
2025-05-30 23:00:00,24.2 ms
2025-05-30 23:00:15,31.1 ms
2025-05-30 23:00:30,31.9 ms
2025-05-30 23:00:45,32.0 ms
2025-05-30 23:01:00,22.0 ms
2025-05-30 23:01:15,18.4 ms
2025-05-30 23:01:30,19.4 ms
2025-05-30 23:01:45,19.3 ms
2025-05-30 23:02:00,10.9 ms
2025-05-30 23:02:15,17.2 ms
2025-05-30 23:02:30,29.7 ms
2025-05-30 23:02:45,26.9 ms
2025-05-30 23:03:00,26.0 ms
2025-05-30 23:03:15,21.7 ms
2025-05-30 23:03:30,11.7 ms

