"Time","{job=""kafka-brokers""}"
2025-06-08 12:08:00,3.20 kB
2025-06-08 12:08:15,2.40 kB
2025-06-08 12:08:30,11.7 kB
2025-06-08 12:08:45,13.7 kB
2025-06-08 12:09:00,17.8 kB
2025-06-08 12:09:15,16.7 kB
2025-06-08 12:09:30,10.0 kB
2025-06-08 12:09:45,10.3 kB
2025-06-08 12:10:00,7.53 kB
2025-06-08 12:10:15,7.75 kB
2025-06-08 12:10:30,4.88 kB
2025-06-08 12:10:45,4.39 kB
2025-06-08 12:11:00,7.18 kB
2025-06-08 12:11:15,12.7 kB
2025-06-08 12:11:30,17.1 kB
2025-06-08 12:11:45,18.8 kB
2025-06-08 12:12:00,10.2 kB
2025-06-08 12:12:15,8.99 kB
2025-06-08 12:12:30,8.11 kB
2025-06-08 12:12:45,10.5 kB
2025-06-08 12:13:00,21.6 kB
2025-06-08 12:13:15,21.4 kB
2025-06-08 12:13:30,29.2 kB
2025-06-08 12:13:45,25.0 kB
2025-06-08 12:14:00,20.0 kB
2025-06-08 12:14:15,14.6 kB
2025-06-08 12:14:30,15.8 kB
2025-06-08 12:14:45,14.7 kB
2025-06-08 12:15:00,22.3 kB
2025-06-08 12:15:15,26.3 kB
2025-06-08 12:15:30,30.3 kB
2025-06-08 12:15:45,30.1 kB
2025-06-08 12:16:00,26.0 kB
2025-06-08 12:16:15,21.2 kB
2025-06-08 12:16:30,20.0 kB
2025-06-08 12:16:45,19.8 kB
2025-06-08 12:17:00,25.7 kB
2025-06-08 12:17:15,26.8 kB
2025-06-08 12:17:30,21.5 kB
2025-06-08 12:17:45,21.0 kB
2025-06-08 12:18:00,21.3 kB
2025-06-08 12:18:15,24.1 kB
2025-06-08 12:18:30,33.4 kB
2025-06-08 12:18:45,36.2 kB
2025-06-08 12:19:00,41.2 kB
2025-06-08 12:19:15,35.7 kB
2025-06-08 12:19:30,21.9 kB
2025-06-08 12:19:45,16.0 kB
2025-06-08 12:20:00,16.0 kB
2025-06-08 12:20:15,18.4 kB
2025-06-08 12:20:30,17.6 kB
2025-06-08 12:20:45,14.7 kB
2025-06-08 12:21:00,6.79 kB
2025-06-08 12:21:15,4.93 kB
2025-06-08 12:21:30,4.62 kB
2025-06-08 12:21:45,9.74 kB
2025-06-08 12:22:00,22.0 kB
2025-06-08 12:22:15,24.7 kB
2025-06-08 12:22:30,22.1 kB
2025-06-08 12:22:45,18.1 kB
2025-06-08 12:23:00,17.5 kB
2025-06-08 12:23:15,22.5 kB
2025-06-08 12:23:30,21.5 kB
2025-06-08 12:23:45,16.3 kB
2025-06-08 12:24:00,9.02 kB
2025-06-08 12:24:15,10.1 kB
2025-06-08 12:24:30,8.39 kB
2025-06-08 12:24:45,10.7 kB
2025-06-08 12:25:00,7.70 kB
2025-06-08 12:25:15,7.49 kB
2025-06-08 12:25:30,4.52 kB
2025-06-08 12:25:45,3.89 kB
2025-06-08 12:26:00,3.91 kB
2025-06-08 12:26:15,3.91 kB
2025-06-08 12:26:30,3.86 kB
2025-06-08 12:26:45,3.86 kB
2025-06-08 12:27:00,4.01 kB
2025-06-08 12:27:15,6.66 kB
2025-06-08 12:27:30,7.36 kB
2025-06-08 12:27:45,7.91 kB
2025-06-08 12:28:00,4.58 kB

