"Time","histogram_quantile(
    0.99,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-06-08 12:08:00,17.2 ms
2025-06-08 12:08:15,21.1 ms
2025-06-08 12:08:30,22.8 ms
2025-06-08 12:08:45,19.4 ms
2025-06-08 12:09:00,18.4 ms
2025-06-08 12:09:15,15.0 ms
2025-06-08 12:09:30,15.0 ms
2025-06-08 12:09:45,13.8 ms
2025-06-08 12:10:00,12.7 ms
2025-06-08 12:10:15,12.0 ms
2025-06-08 12:10:30,11.3 ms
2025-06-08 12:10:45,14.9 ms
2025-06-08 12:11:00,23.3 ms
2025-06-08 12:11:15,22.0 ms
2025-06-08 12:11:30,21.7 ms
2025-06-08 12:11:45,19.9 ms
2025-06-08 12:12:00,18.5 ms
2025-06-08 12:12:15,15.4 ms
2025-06-08 12:12:30,13.3 ms
2025-06-08 12:12:45,13.7 ms
2025-06-08 12:13:00,13.8 ms
2025-06-08 12:13:15,13.0 ms
2025-06-08 12:13:30,13.7 ms
2025-06-08 12:13:45,16.0 ms
2025-06-08 12:14:00,19.0 ms
2025-06-08 12:14:15,22.1 ms
2025-06-08 12:14:30,18.7 ms
2025-06-08 12:14:45,16.3 ms
2025-06-08 12:15:00,16.0 ms
2025-06-08 12:15:15,16.0 ms
2025-06-08 12:15:30,15.9 ms
2025-06-08 12:15:45,15.8 ms
2025-06-08 12:16:00,14.8 ms
2025-06-08 12:16:15,15.4 ms
2025-06-08 12:16:30,15.5 ms
2025-06-08 12:16:45,15.4 ms
2025-06-08 12:17:00,16.0 ms
2025-06-08 12:17:15,18.1 ms
2025-06-08 12:17:30,16.1 ms
2025-06-08 12:17:45,16.8 ms
2025-06-08 12:18:00,14.7 ms
2025-06-08 12:18:15,16.9 ms
2025-06-08 12:18:30,18.0 ms
2025-06-08 12:18:45,18.8 ms
2025-06-08 12:19:00,22.1 ms
2025-06-08 12:19:15,23.9 ms
2025-06-08 12:19:30,22.8 ms
2025-06-08 12:19:45,16.7 ms
2025-06-08 12:20:00,15.9 ms
2025-06-08 12:20:15,16.2 ms
2025-06-08 12:20:30,15.6 ms
2025-06-08 12:20:45,15.4 ms
2025-06-08 12:21:00,11.5 ms
2025-06-08 12:21:15,9.69 ms
2025-06-08 12:21:30,6.63 ms
2025-06-08 12:21:45,16.3 ms
2025-06-08 12:22:00,16.7 ms
2025-06-08 12:22:15,16.5 ms
2025-06-08 12:22:30,17.6 ms
2025-06-08 12:22:45,16.5 ms
2025-06-08 12:23:00,16.1 ms
2025-06-08 12:23:15,18.0 ms
2025-06-08 12:23:30,16.8 ms
2025-06-08 12:23:45,17.9 ms
2025-06-08 12:24:00,13.8 ms
2025-06-08 12:24:15,17.2 ms
2025-06-08 12:24:30,17.7 ms
2025-06-08 12:24:45,18.0 ms
2025-06-08 12:25:00,15.8 ms
2025-06-08 12:25:15,16.7 ms
2025-06-08 12:25:30,12.1 ms
2025-06-08 12:25:45,9.42 ms
2025-06-08 12:26:00,7.27 ms
2025-06-08 12:26:15,6.87 ms
2025-06-08 12:26:30,6.44 ms
2025-06-08 12:26:45,6.92 ms
2025-06-08 12:27:00,11.7 ms
2025-06-08 12:27:15,16.0 ms
2025-06-08 12:27:30,16.1 ms
2025-06-08 12:27:45,15.9 ms
2025-06-08 12:28:00,11.6 ms

