"Time","{job=""kafka-brokers""}"
2025-05-31 13:37:00,4.01 kB
2025-05-31 13:37:15,2.52 kB
2025-05-31 13:37:30,8.86 kB
2025-05-31 13:37:45,12.7 kB
2025-05-31 13:38:00,15.9 kB
2025-05-31 13:38:15,16.4 kB
2025-05-31 13:38:30,11.2 kB
2025-05-31 13:38:45,10.1 kB
2025-05-31 13:39:00,8.87 kB
2025-05-31 13:39:15,7.40 kB
2025-05-31 13:39:30,6.07 kB
2025-05-31 13:39:45,4.42 kB
2025-05-31 13:40:00,5.90 kB
2025-05-31 13:40:15,11.7 kB
2025-05-31 13:40:30,14.5 kB
2025-05-31 13:40:45,17.8 kB
2025-05-31 13:41:00,12.3 kB
2025-05-31 13:41:15,8.88 kB
2025-05-31 13:41:30,9.01 kB
2025-05-31 13:41:45,9.92 kB
2025-05-31 13:42:00,15.8 kB
2025-05-31 13:42:15,20.0 kB
2025-05-31 13:42:30,28.0 kB
2025-05-31 13:42:45,24.1 kB
2025-05-31 13:43:00,21.6 kB
2025-05-31 13:43:15,16.4 kB
2025-05-31 13:43:30,14.5 kB
2025-05-31 13:43:45,14.6 kB
2025-05-31 13:44:00,19.9 kB
2025-05-31 13:44:15,24.0 kB
2025-05-31 13:44:30,28.1 kB
2025-05-31 13:44:45,28.7 kB
2025-05-31 13:45:00,25.4 kB
2025-05-31 13:45:15,19.8 kB
2025-05-31 13:45:30,19.4 kB
2025-05-31 13:45:45,17.1 kB
2025-05-31 13:46:00,22.5 kB
2025-05-31 13:46:15,25.5 kB
2025-05-31 13:46:30,21.8 kB
2025-05-31 13:46:45,20.2 kB
2025-05-31 13:47:00,20.9 kB
2025-05-31 13:47:15,22.1 kB
2025-05-31 13:47:30,28.6 kB
2025-05-31 13:47:45,33.5 kB
2025-05-31 13:48:00,37.4 kB
2025-05-31 13:48:15,33.8 kB
2025-05-31 13:48:30,20.9 kB
2025-05-31 13:48:45,16.7 kB
2025-05-31 13:49:00,14.1 kB
2025-05-31 13:49:15,18.4 kB
2025-05-31 13:49:30,16.8 kB
2025-05-31 13:49:45,14.1 kB
2025-05-31 13:50:00,9.10 kB
2025-05-31 13:50:15,5.03 kB
2025-05-31 13:50:30,4.32 kB
2025-05-31 13:50:45,7.11 kB
2025-05-31 13:51:00,14.9 kB
2025-05-31 13:51:15,22.9 kB
2025-05-31 13:51:30,20.9 kB
2025-05-31 13:51:45,19.2 kB
2025-05-31 13:52:00,16.1 kB
2025-05-31 13:52:15,20.9 kB
2025-05-31 13:52:30,21.5 kB
2025-05-31 13:52:45,16.7 kB
2025-05-31 13:53:00,11.0 kB
2025-05-31 13:53:15,10.2 kB
2025-05-31 13:53:30,7.85 kB
2025-05-31 13:53:45,10.2 kB
2025-05-31 13:54:00,8.80 kB
2025-05-31 13:54:15,7.18 kB
2025-05-31 13:54:30,5.91 kB
2025-05-31 13:54:45,3.97 kB
2025-05-31 13:55:00,3.89 kB
2025-05-31 13:55:15,3.90 kB
2025-05-31 13:55:30,3.79 kB
2025-05-31 13:55:45,3.76 kB
2025-05-31 13:56:00,3.75 kB
2025-05-31 13:56:15,6.47 kB
2025-05-31 13:56:30,7.13 kB
2025-05-31 13:56:45,7.85 kB
2025-05-31 13:57:00,5.83 kB

