"Time","histogram_quantile(
    0.99,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 13:37:00,16.5 ms
2025-05-31 13:37:15,15.6 ms
2025-05-31 13:37:30,15.9 ms
2025-05-31 13:37:45,21.2 ms
2025-05-31 13:38:00,20.3 ms
2025-05-31 13:38:15,22.4 ms
2025-05-31 13:38:30,18.3 ms
2025-05-31 13:38:45,21.5 ms
2025-05-31 13:39:00,21.5 ms
2025-05-31 13:39:15,15.2 ms
2025-05-31 13:39:30,13.6 ms
2025-05-31 13:39:45,13.1 ms
2025-05-31 13:40:00,20.3 ms
2025-05-31 13:40:15,46.9 ms
2025-05-31 13:40:30,41.5 ms
2025-05-31 13:40:45,38.0 ms
2025-05-31 13:41:00,34.5 ms
2025-05-31 13:41:15,19.5 ms
2025-05-31 13:41:30,27.3 ms
2025-05-31 13:41:45,26.4 ms
2025-05-31 13:42:00,31.7 ms
2025-05-31 13:42:15,36.5 ms
2025-05-31 13:42:30,33.5 ms
2025-05-31 13:42:45,33.5 ms
2025-05-31 13:43:00,26.9 ms
2025-05-31 13:43:15,24.2 ms
2025-05-31 13:43:30,21.3 ms
2025-05-31 13:43:45,35.7 ms
2025-05-31 13:44:00,33.5 ms
2025-05-31 13:44:15,33.1 ms
2025-05-31 13:44:30,30.0 ms
2025-05-31 13:44:45,24.9 ms
2025-05-31 13:45:00,22.4 ms
2025-05-31 13:45:15,21.8 ms
2025-05-31 13:45:30,21.1 ms
2025-05-31 13:45:45,18.9 ms
2025-05-31 13:46:00,20.0 ms
2025-05-31 13:46:15,19.2 ms
2025-05-31 13:46:30,20.3 ms
2025-05-31 13:46:45,18.0 ms
2025-05-31 13:47:00,18.2 ms
2025-05-31 13:47:15,20.1 ms
2025-05-31 13:47:30,19.7 ms
2025-05-31 13:47:45,21.0 ms
2025-05-31 13:48:00,21.4 ms
2025-05-31 13:48:15,21.9 ms
2025-05-31 13:48:30,23.9 ms
2025-05-31 13:48:45,20.1 ms
2025-05-31 13:49:00,14.7 ms
2025-05-31 13:49:15,27.3 ms
2025-05-31 13:49:30,27.9 ms
2025-05-31 13:49:45,32.5 ms
2025-05-31 13:50:00,22.1 ms
2025-05-31 13:50:15,14.8 ms
2025-05-31 13:50:30,14.3 ms
2025-05-31 13:50:45,14.8 ms
2025-05-31 13:51:00,18.9 ms
2025-05-31 13:51:15,19.0 ms
2025-05-31 13:51:30,19.7 ms
2025-05-31 13:51:45,18.7 ms
2025-05-31 13:52:00,17.7 ms
2025-05-31 13:52:15,18.3 ms
2025-05-31 13:52:30,18.9 ms
2025-05-31 13:52:45,17.9 ms
2025-05-31 13:53:00,16.5 ms
2025-05-31 13:53:15,16.6 ms
2025-05-31 13:53:30,17.0 ms
2025-05-31 13:53:45,15.6 ms
2025-05-31 13:54:00,11.9 ms
2025-05-31 13:54:15,14.7 ms
2025-05-31 13:54:30,15.3 ms
2025-05-31 13:54:45,20.4 ms
2025-05-31 13:55:00,17.2 ms
2025-05-31 13:55:15,19.1 ms
2025-05-31 13:55:30,17.4 ms
2025-05-31 13:55:45,13.6 ms
2025-05-31 13:56:00,9.09 ms
2025-05-31 13:56:15,12.1 ms
2025-05-31 13:56:30,12.0 ms
2025-05-31 13:56:45,11.6 ms
2025-05-31 13:57:00,12.6 ms

