"Time","histogram_quantile(
    0.99,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 13:16:45,
2025-05-31 13:17:00,
2025-05-31 13:17:15,1.06 s
2025-05-31 13:17:30,893 ms
2025-05-31 13:17:45,132 ms
2025-05-31 13:18:00,93.2 ms
2025-05-31 13:18:15,42.5 ms
2025-05-31 13:18:30,42.6 ms
2025-05-31 13:18:45,47.0 ms
2025-05-31 13:19:00,54.5 ms
2025-05-31 13:19:15,26.2 ms
2025-05-31 13:19:30,18.7 ms
2025-05-31 13:19:45,22.9 ms
2025-05-31 13:20:00,34.5 ms
2025-05-31 13:20:15,34.2 ms
2025-05-31 13:20:30,31.3 ms
2025-05-31 13:20:45,25.5 ms
2025-05-31 13:21:00,20.2 ms
2025-05-31 13:21:15,26.5 ms
2025-05-31 13:21:30,26.6 ms
2025-05-31 13:21:45,27.0 ms
2025-05-31 13:22:00,22.3 ms
2025-05-31 13:22:15,30.8 ms
2025-05-31 13:22:30,31.5 ms
2025-05-31 13:22:45,42.2 ms
2025-05-31 13:23:00,37.8 ms
2025-05-31 13:23:15,35.9 ms
2025-05-31 13:23:30,25.6 ms
2025-05-31 13:23:45,36.1 ms
2025-05-31 13:24:00,39.9 ms
2025-05-31 13:24:15,39.7 ms
2025-05-31 13:24:30,37.0 ms
2025-05-31 13:24:45,32.6 ms
2025-05-31 13:25:00,27.1 ms
2025-05-31 13:25:15,34.9 ms
2025-05-31 13:25:30,32.3 ms
2025-05-31 13:25:45,43.2 ms
2025-05-31 13:26:00,37.5 ms
2025-05-31 13:26:15,39.2 ms
2025-05-31 13:26:30,37.2 ms
2025-05-31 13:26:45,46.0 ms
2025-05-31 13:27:00,44.3 ms
2025-05-31 13:27:15,44.7 ms
2025-05-31 13:27:30,35.7 ms
2025-05-31 13:27:45,39.2 ms
2025-05-31 13:28:00,35.4 ms
2025-05-31 13:28:15,32.7 ms
2025-05-31 13:28:30,27.1 ms
2025-05-31 13:28:45,23.1 ms
2025-05-31 13:29:00,21.1 ms
2025-05-31 13:29:15,20.5 ms
2025-05-31 13:29:30,17.1 ms
2025-05-31 13:29:45,15.4 ms
2025-05-31 13:30:00,13.7 ms
2025-05-31 13:30:15,17.8 ms
2025-05-31 13:30:30,23.6 ms
2025-05-31 13:30:45,29.3 ms
2025-05-31 13:31:00,25.1 ms
2025-05-31 13:31:15,23.9 ms
2025-05-31 13:31:30,18.9 ms
2025-05-31 13:31:45,22.2 ms
2025-05-31 13:32:00,22.4 ms
2025-05-31 13:32:15,22.1 ms
2025-05-31 13:32:30,20.7 ms
2025-05-31 13:32:45,20.7 ms
2025-05-31 13:33:00,20.4 ms
2025-05-31 13:33:15,20.0 ms
2025-05-31 13:33:30,21.4 ms
2025-05-31 13:33:45,22.4 ms
2025-05-31 13:34:00,24.1 ms
2025-05-31 13:34:15,25.0 ms
2025-05-31 13:34:30,25.2 ms
2025-05-31 13:34:45,24.6 ms
2025-05-31 13:35:00,15.0 ms
2025-05-31 13:35:15,17.7 ms
2025-05-31 13:35:30,16.0 ms
2025-05-31 13:35:45,17.7 ms
2025-05-31 13:36:00,21.8 ms
2025-05-31 13:36:15,21.1 ms
2025-05-31 13:36:30,22.1 ms
2025-05-31 13:36:45,21.3 ms

