"Time","histogram_quantile(
    0.90,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 13:16:45,
2025-05-31 13:17:00,
2025-05-31 13:17:15,806 ms
2025-05-31 13:17:30,32.5 ms
2025-05-31 13:17:45,29.2 ms
2025-05-31 13:18:00,26.5 ms
2025-05-31 13:18:15,17.8 ms
2025-05-31 13:18:30,15.9 ms
2025-05-31 13:18:45,14.4 ms
2025-05-31 13:19:00,13.9 ms
2025-05-31 13:19:15,9.73 ms
2025-05-31 13:19:30,5.10 ms
2025-05-31 13:19:45,10.8 ms
2025-05-31 13:20:00,14.9 ms
2025-05-31 13:20:15,14.6 ms
2025-05-31 13:20:30,14.0 ms
2025-05-31 13:20:45,12.0 ms
2025-05-31 13:21:00,9.00 ms
2025-05-31 13:21:15,8.57 ms
2025-05-31 13:21:30,10.9 ms
2025-05-31 13:21:45,11.0 ms
2025-05-31 13:22:00,9.22 ms
2025-05-31 13:22:15,10.5 ms
2025-05-31 13:22:30,10.4 ms
2025-05-31 13:22:45,11.5 ms
2025-05-31 13:23:00,11.0 ms
2025-05-31 13:23:15,11.2 ms
2025-05-31 13:23:30,10.0 ms
2025-05-31 13:23:45,10.9 ms
2025-05-31 13:24:00,10.9 ms
2025-05-31 13:24:15,12.3 ms
2025-05-31 13:24:30,11.5 ms
2025-05-31 13:24:45,10.8 ms
2025-05-31 13:25:00,8.97 ms
2025-05-31 13:25:15,9.25 ms
2025-05-31 13:25:30,8.98 ms
2025-05-31 13:25:45,10.3 ms
2025-05-31 13:26:00,9.90 ms
2025-05-31 13:26:15,9.43 ms
2025-05-31 13:26:30,9.08 ms
2025-05-31 13:26:45,9.58 ms
2025-05-31 13:27:00,9.78 ms
2025-05-31 13:27:15,10.3 ms
2025-05-31 13:27:30,9.44 ms
2025-05-31 13:27:45,9.46 ms
2025-05-31 13:28:00,9.27 ms
2025-05-31 13:28:15,9.01 ms
2025-05-31 13:28:30,8.65 ms
2025-05-31 13:28:45,7.87 ms
2025-05-31 13:29:00,7.52 ms
2025-05-31 13:29:15,7.02 ms
2025-05-31 13:29:30,6.44 ms
2025-05-31 13:29:45,3.28 ms
2025-05-31 13:30:00,3.34 ms
2025-05-31 13:30:15,3.68 ms
2025-05-31 13:30:30,7.93 ms
2025-05-31 13:30:45,8.62 ms
2025-05-31 13:31:00,7.89 ms
2025-05-31 13:31:15,7.56 ms
2025-05-31 13:31:30,5.77 ms
2025-05-31 13:31:45,6.15 ms
2025-05-31 13:32:00,6.96 ms
2025-05-31 13:32:15,6.96 ms
2025-05-31 13:32:30,6.31 ms
2025-05-31 13:32:45,6.05 ms
2025-05-31 13:33:00,5.54 ms
2025-05-31 13:33:15,4.80 ms
2025-05-31 13:33:30,5.76 ms
2025-05-31 13:33:45,5.40 ms
2025-05-31 13:34:00,5.42 ms
2025-05-31 13:34:15,4.86 ms
2025-05-31 13:34:30,3.79 ms
2025-05-31 13:34:45,3.91 ms
2025-05-31 13:35:00,3.80 ms
2025-05-31 13:35:15,3.83 ms
2025-05-31 13:35:30,3.51 ms
2025-05-31 13:35:45,3.39 ms
2025-05-31 13:36:00,6.23 ms
2025-05-31 13:36:15,5.72 ms
2025-05-31 13:36:30,6.00 ms
2025-05-31 13:36:45,4.93 ms

