"Time","{job=""kafka-brokers""}"
2025-05-31 13:16:45,0 B
2025-05-31 13:17:00,60.2 B
2025-05-31 13:17:15,1.47 kB
2025-05-31 13:17:30,10.1 kB
2025-05-31 13:17:45,12.5 kB
2025-05-31 13:18:00,14.2 kB
2025-05-31 13:18:15,10.2 kB
2025-05-31 13:18:30,9.90 kB
2025-05-31 13:18:45,9.38 kB
2025-05-31 13:19:00,7.27 kB
2025-05-31 13:19:15,7.74 kB
2025-05-31 13:19:30,4.65 kB
2025-05-31 13:19:45,4.15 kB
2025-05-31 13:20:00,9.73 kB
2025-05-31 13:20:15,13.4 kB
2025-05-31 13:20:30,16.4 kB
2025-05-31 13:20:45,15.4 kB
2025-05-31 13:21:00,9.29 kB
2025-05-31 13:21:15,8.57 kB
2025-05-31 13:21:30,8.93 kB
2025-05-31 13:21:45,17.6 kB
2025-05-31 13:22:00,20.4 kB
2025-05-31 13:22:15,25.4 kB
2025-05-31 13:22:30,25.8 kB
2025-05-31 13:22:45,19.5 kB
2025-05-31 13:23:00,11.9 kB
2025-05-31 13:23:15,10.3 kB
2025-05-31 13:23:30,15.3 kB
2025-05-31 13:23:45,16.4 kB
2025-05-31 13:24:00,26.6 kB
2025-05-31 13:24:15,23.0 kB
2025-05-31 13:24:30,29.1 kB
2025-05-31 13:24:45,29.2 kB
2025-05-31 13:25:00,23.5 kB
2025-05-31 13:25:15,18.9 kB
2025-05-31 13:25:30,21.9 kB
2025-05-31 13:25:45,23.3 kB
2025-05-31 13:26:00,23.0 kB
2025-05-31 13:26:15,25.6 kB
2025-05-31 13:26:30,21.5 kB
2025-05-31 13:26:45,23.6 kB
2025-05-31 13:27:00,21.8 kB
2025-05-31 13:27:15,29.2 kB
2025-05-31 13:27:30,33.7 kB
2025-05-31 13:27:45,37.3 kB
2025-05-31 13:28:00,34.8 kB
2025-05-31 13:28:15,27.7 kB
2025-05-31 13:28:30,15.9 kB
2025-05-31 13:28:45,11.7 kB
2025-05-31 13:29:00,17.2 kB
2025-05-31 13:29:15,17.2 kB
2025-05-31 13:29:30,15.5 kB
2025-05-31 13:29:45,7.58 kB
2025-05-31 13:30:00,5.88 kB
2025-05-31 13:30:15,4.27 kB
2025-05-31 13:30:30,10.1 kB
2025-05-31 13:30:45,16.0 kB
2025-05-31 13:31:00,21.5 kB
2025-05-31 13:31:15,23.4 kB
2025-05-31 13:31:30,15.1 kB
2025-05-31 13:31:45,16.2 kB
2025-05-31 13:32:00,19.5 kB
2025-05-31 13:32:15,19.4 kB
2025-05-31 13:32:30,18.0 kB
2025-05-31 13:32:45,13.6 kB
2025-05-31 13:33:00,9.04 kB
2025-05-31 13:33:15,7.73 kB
2025-05-31 13:33:30,9.40 kB
2025-05-31 13:33:45,10.4 kB
2025-05-31 13:34:00,7.54 kB
2025-05-31 13:34:15,6.86 kB
2025-05-31 13:34:30,4.18 kB
2025-05-31 13:34:45,3.91 kB
2025-05-31 13:35:00,3.96 kB
2025-05-31 13:35:15,3.87 kB
2025-05-31 13:35:30,3.87 kB
2025-05-31 13:35:45,3.58 kB
2025-05-31 13:36:00,5.18 kB
2025-05-31 13:36:15,7.20 kB
2025-05-31 13:36:30,7.57 kB
2025-05-31 13:36:45,6.75 kB

