"Time","histogram_quantile(
    0.90,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-06-08 13:00:00,156 ms
2025-06-08 13:00:15,138 ms
2025-06-08 13:00:30,109 ms
2025-06-08 13:00:45,81.7 ms
2025-06-08 13:01:00,76.0 ms
2025-06-08 13:01:15,57.4 ms
2025-06-08 13:01:30,41.3 ms
2025-06-08 13:01:45,36.9 ms
2025-06-08 13:02:00,33.9 ms
2025-06-08 13:02:15,33.8 ms
2025-06-08 13:02:30,10.1 ms
2025-06-08 13:02:45,7.87 ms
2025-06-08 13:03:00,26.1 ms
2025-06-08 13:03:15,36.1 ms
2025-06-08 13:03:30,40.1 ms
2025-06-08 13:03:45,38.2 ms
2025-06-08 13:04:00,34.6 ms
2025-06-08 13:04:15,20.4 ms
2025-06-08 13:04:30,22.2 ms
2025-06-08 13:04:45,28.0 ms
2025-06-08 13:05:00,32.9 ms
2025-06-08 13:05:15,31.6 ms
2025-06-08 13:05:30,35.3 ms
2025-06-08 13:05:45,37.2 ms
2025-06-08 13:06:00,36.5 ms
2025-06-08 13:06:15,36.9 ms
2025-06-08 13:06:30,29.9 ms
2025-06-08 13:06:45,31.3 ms
2025-06-08 13:07:00,32.6 ms
2025-06-08 13:07:15,33.0 ms
2025-06-08 13:07:30,37.0 ms
2025-06-08 13:07:45,36.1 ms
2025-06-08 13:08:00,31.7 ms
2025-06-08 13:08:15,27.4 ms
2025-06-08 13:08:30,24.5 ms
2025-06-08 13:08:45,24.9 ms
2025-06-08 13:09:00,27.0 ms
2025-06-08 13:09:15,26.5 ms
2025-06-08 13:09:30,26.1 ms
2025-06-08 13:09:45,24.6 ms
2025-06-08 13:10:00,25.8 ms
2025-06-08 13:10:15,25.6 ms
2025-06-08 13:10:30,27.3 ms
2025-06-08 13:10:45,26.8 ms
2025-06-08 13:11:00,26.8 ms
2025-06-08 13:11:15,26.4 ms
2025-06-08 13:11:30,25.6 ms
2025-06-08 13:11:45,23.5 ms
2025-06-08 13:12:00,21.1 ms
2025-06-08 13:12:15,26.3 ms
2025-06-08 13:12:30,24.7 ms
2025-06-08 13:12:45,24.8 ms
2025-06-08 13:13:00,4.82 ms
2025-06-08 13:13:15,4.63 ms
2025-06-08 13:13:30,5.01 ms
2025-06-08 13:13:45,20.4 ms
2025-06-08 13:14:00,22.1 ms
2025-06-08 13:14:15,26.5 ms
2025-06-08 13:14:30,25.1 ms
2025-06-08 13:14:45,22.3 ms
2025-06-08 13:15:00,16.1 ms
2025-06-08 13:15:15,15.9 ms
2025-06-08 13:15:30,17.6 ms
2025-06-08 13:15:45,16.8 ms
2025-06-08 13:16:00,15.2 ms
2025-06-08 13:16:15,11.0 ms
2025-06-08 13:16:30,9.32 ms
2025-06-08 13:16:45,13.1 ms
2025-06-08 13:17:00,12.6 ms
2025-06-08 13:17:15,11.3 ms
2025-06-08 13:17:30,6.88 ms
2025-06-08 13:17:45,5.32 ms
2025-06-08 13:18:00,5.05 ms
2025-06-08 13:18:15,5.49 ms
2025-06-08 13:18:30,5.62 ms
2025-06-08 13:18:45,5.60 ms
2025-06-08 13:19:00,4.92 ms
2025-06-08 13:19:15,11.1 ms
2025-06-08 13:19:30,10.5 ms
2025-06-08 13:19:45,9.92 ms
2025-06-08 13:20:00,6.21 ms

