"Time","histogram_quantile(
    0.99,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-06-08 13:00:00,2.64 s
2025-06-08 13:00:15,2.40 s
2025-06-08 13:00:30,1.82 s
2025-06-08 13:00:45,164 ms
2025-06-08 13:01:00,165 ms
2025-06-08 13:01:15,160 ms
2025-06-08 13:01:30,87.3 ms
2025-06-08 13:01:45,83.2 ms
2025-06-08 13:02:00,66.9 ms
2025-06-08 13:02:15,68.9 ms
2025-06-08 13:02:30,44.4 ms
2025-06-08 13:02:45,25.1 ms
2025-06-08 13:03:00,50.2 ms
2025-06-08 13:03:15,85.8 ms
2025-06-08 13:03:30,111 ms
2025-06-08 13:03:45,107 ms
2025-06-08 13:04:00,107 ms
2025-06-08 13:04:15,59.3 ms
2025-06-08 13:04:30,63.6 ms
2025-06-08 13:04:45,86.6 ms
2025-06-08 13:05:00,105 ms
2025-06-08 13:05:15,94.7 ms
2025-06-08 13:05:30,95.0 ms
2025-06-08 13:05:45,93.0 ms
2025-06-08 13:06:00,86.7 ms
2025-06-08 13:06:15,86.0 ms
2025-06-08 13:06:30,73.7 ms
2025-06-08 13:06:45,85.5 ms
2025-06-08 13:07:00,84.8 ms
2025-06-08 13:07:15,89.6 ms
2025-06-08 13:07:30,92.5 ms
2025-06-08 13:07:45,88.3 ms
2025-06-08 13:08:00,82.6 ms
2025-06-08 13:08:15,71.4 ms
2025-06-08 13:08:30,57.3 ms
2025-06-08 13:08:45,55.8 ms
2025-06-08 13:09:00,64.9 ms
2025-06-08 13:09:15,62.7 ms
2025-06-08 13:09:30,67.9 ms
2025-06-08 13:09:45,65.1 ms
2025-06-08 13:10:00,61.4 ms
2025-06-08 13:10:15,57.9 ms
2025-06-08 13:10:30,63.4 ms
2025-06-08 13:10:45,60.5 ms
2025-06-08 13:11:00,59.1 ms
2025-06-08 13:11:15,55.4 ms
2025-06-08 13:11:30,49.2 ms
2025-06-08 13:11:45,47.0 ms
2025-06-08 13:12:00,48.2 ms
2025-06-08 13:12:15,118 ms
2025-06-08 13:12:30,118 ms
2025-06-08 13:12:45,125 ms
2025-06-08 13:13:00,76.1 ms
2025-06-08 13:13:15,9.66 ms
2025-06-08 13:13:30,14.5 ms
2025-06-08 13:13:45,43.4 ms
2025-06-08 13:14:00,49.9 ms
2025-06-08 13:14:15,254 ms
2025-06-08 13:14:30,258 ms
2025-06-08 13:14:45,284 ms
2025-06-08 13:15:00,279 ms
2025-06-08 13:15:15,49.7 ms
2025-06-08 13:15:30,48.1 ms
2025-06-08 13:15:45,46.8 ms
2025-06-08 13:16:00,47.3 ms
2025-06-08 13:16:15,44.1 ms
2025-06-08 13:16:30,48.9 ms
2025-06-08 13:16:45,55.3 ms
2025-06-08 13:17:00,56.7 ms
2025-06-08 13:17:15,48.3 ms
2025-06-08 13:17:30,41.6 ms
2025-06-08 13:17:45,19.1 ms
2025-06-08 13:18:00,15.6 ms
2025-06-08 13:18:15,17.7 ms
2025-06-08 13:18:30,18.1 ms
2025-06-08 13:18:45,18.3 ms
2025-06-08 13:19:00,12.0 ms
2025-06-08 13:19:15,53.8 ms
2025-06-08 13:19:30,53.9 ms
2025-06-08 13:19:45,53.1 ms
2025-06-08 13:20:00,53.1 ms

