"Time","histogram_quantile(
    0.99,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-06-08 13:20:30,12.8 ms
2025-06-08 13:20:45,50.4 ms
2025-06-08 13:21:00,87.7 ms
2025-06-08 13:21:15,88.8 ms
2025-06-08 13:21:30,84.1 ms
2025-06-08 13:21:45,88.7 ms
2025-06-08 13:22:00,52.0 ms
2025-06-08 13:22:15,49.7 ms
2025-06-08 13:22:30,44.5 ms
2025-06-08 13:22:45,44.5 ms
2025-06-08 13:23:00,10.3 ms
2025-06-08 13:23:15,15.1 ms
2025-06-08 13:23:30,59.1 ms
2025-06-08 13:23:45,59.5 ms
2025-06-08 13:24:00,57.6 ms
2025-06-08 13:24:15,52.5 ms
2025-06-08 13:24:30,38.7 ms
2025-06-08 13:24:45,48.5 ms
2025-06-08 13:25:00,50.5 ms
2025-06-08 13:25:15,111 ms
2025-06-08 13:25:30,94.1 ms
2025-06-08 13:25:45,88.3 ms
2025-06-08 13:26:00,54.5 ms
2025-06-08 13:26:15,49.0 ms
2025-06-08 13:26:30,49.8 ms
2025-06-08 13:26:45,48.4 ms
2025-06-08 13:27:00,51.3 ms
2025-06-08 13:27:15,57.7 ms
2025-06-08 13:27:30,61.3 ms
2025-06-08 13:27:45,63.8 ms
2025-06-08 13:28:00,62.0 ms
2025-06-08 13:28:15,63.6 ms
2025-06-08 13:28:30,66.3 ms
2025-06-08 13:28:45,63.7 ms
2025-06-08 13:29:00,58.8 ms
2025-06-08 13:29:15,50.7 ms
2025-06-08 13:29:30,52.5 ms
2025-06-08 13:29:45,48.7 ms
2025-06-08 13:30:00,45.7 ms
2025-06-08 13:30:15,42.4 ms
2025-06-08 13:30:30,39.3 ms
2025-06-08 13:30:45,43.3 ms
2025-06-08 13:31:00,41.3 ms
2025-06-08 13:31:15,41.3 ms
2025-06-08 13:31:30,38.9 ms
2025-06-08 13:31:45,36.8 ms
2025-06-08 13:32:00,32.8 ms
2025-06-08 13:32:15,105 ms
2025-06-08 13:32:30,94.1 ms
2025-06-08 13:32:45,96.4 ms
2025-06-08 13:33:00,35.6 ms
2025-06-08 13:33:15,35.4 ms
2025-06-08 13:33:30,26.2 ms
2025-06-08 13:33:45,30.3 ms
2025-06-08 13:34:00,23.8 ms
2025-06-08 13:34:15,34.7 ms
2025-06-08 13:34:30,32.3 ms
2025-06-08 13:34:45,31.5 ms
2025-06-08 13:35:00,22.3 ms
2025-06-08 13:35:15,44.1 ms
2025-06-08 13:35:30,53.4 ms
2025-06-08 13:35:45,55.4 ms
2025-06-08 13:36:00,42.7 ms
2025-06-08 13:36:15,37.8 ms
2025-06-08 13:36:30,23.1 ms
2025-06-08 13:36:45,22.0 ms
2025-06-08 13:37:00,25.5 ms
2025-06-08 13:37:15,27.6 ms
2025-06-08 13:37:30,27.7 ms
2025-06-08 13:37:45,26.5 ms
2025-06-08 13:38:00,12.5 ms
2025-06-08 13:38:15,9.62 ms
2025-06-08 13:38:30,9.94 ms
2025-06-08 13:38:45,14.3 ms
2025-06-08 13:39:00,8.02 ms
2025-06-08 13:39:15,16.3 ms
2025-06-08 13:39:30,27.2 ms
2025-06-08 13:39:45,26.9 ms
2025-06-08 13:40:00,25.4 ms
2025-06-08 13:40:15,25.8 ms
2025-06-08 13:40:30,14.4 ms

