"Time","local"
2025-06-08 13:20:30,4.67 kB/s
2025-06-08 13:20:45,2.23 kB/s
2025-06-08 13:21:00,2.23 kB/s
2025-06-08 13:21:15,2.23 kB/s
2025-06-08 13:21:30,2.23 kB/s
2025-06-08 13:21:45,11.1 kB/s
2025-06-08 13:22:00,11.1 kB/s
2025-06-08 13:22:15,11.1 kB/s
2025-06-08 13:22:30,11.1 kB/s
2025-06-08 13:22:45,5.87 kB/s
2025-06-08 13:23:00,5.87 kB/s
2025-06-08 13:23:15,5.87 kB/s
2025-06-08 13:23:30,5.87 kB/s
2025-06-08 13:23:45,6.24 kB/s
2025-06-08 13:24:00,6.24 kB/s
2025-06-08 13:24:15,6.24 kB/s
2025-06-08 13:24:30,6.24 kB/s
2025-06-08 13:24:45,8.07 kB/s
2025-06-08 13:25:00,8.07 kB/s
2025-06-08 13:25:15,8.07 kB/s
2025-06-08 13:25:30,8.07 kB/s
2025-06-08 13:25:45,13.5 kB/s
2025-06-08 13:26:00,13.5 kB/s
2025-06-08 13:26:15,13.5 kB/s
2025-06-08 13:26:30,13.5 kB/s
2025-06-08 13:26:45,12.8 kB/s
2025-06-08 13:27:00,12.8 kB/s
2025-06-08 13:27:15,12.8 kB/s
2025-06-08 13:27:30,12.8 kB/s
2025-06-08 13:27:45,15.8 kB/s
2025-06-08 13:28:00,15.8 kB/s
2025-06-08 13:28:15,15.8 kB/s
2025-06-08 13:28:30,15.8 kB/s
2025-06-08 13:28:45,16.9 kB/s
2025-06-08 13:29:00,16.9 kB/s
2025-06-08 13:29:15,16.9 kB/s
2025-06-08 13:29:30,16.9 kB/s
2025-06-08 13:29:45,17.1 kB/s
2025-06-08 13:30:00,17.1 kB/s
2025-06-08 13:30:15,17.1 kB/s
2025-06-08 13:30:30,17.1 kB/s
2025-06-08 13:30:45,15.8 kB/s
2025-06-08 13:31:00,15.8 kB/s
2025-06-08 13:31:15,15.8 kB/s
2025-06-08 13:31:30,15.8 kB/s
2025-06-08 13:31:45,27.5 kB/s
2025-06-08 13:32:00,27.5 kB/s
2025-06-08 13:32:15,27.5 kB/s
2025-06-08 13:32:30,27.5 kB/s
2025-06-08 13:32:45,12.5 kB/s
2025-06-08 13:33:00,12.5 kB/s
2025-06-08 13:33:15,12.5 kB/s
2025-06-08 13:33:30,12.5 kB/s
2025-06-08 13:33:45,5.06 kB/s
2025-06-08 13:34:00,5.05 kB/s
2025-06-08 13:34:15,5.02 kB/s
2025-06-08 13:34:30,5.02 kB/s
2025-06-08 13:34:45,13.9 kB/s
2025-06-08 13:35:00,13.9 kB/s
2025-06-08 13:35:15,13.9 kB/s
2025-06-08 13:35:30,13.9 kB/s
2025-06-08 13:35:45,12.7 kB/s
2025-06-08 13:36:00,12.7 kB/s
2025-06-08 13:36:15,12.7 kB/s
2025-06-08 13:36:30,12.7 kB/s
2025-06-08 13:36:45,8.10 kB/s
2025-06-08 13:37:00,8.10 kB/s
2025-06-08 13:37:15,8.10 kB/s
2025-06-08 13:37:30,8.10 kB/s
2025-06-08 13:37:45,5.75 kB/s
2025-06-08 13:38:00,5.75 kB/s
2025-06-08 13:38:15,5.71 kB/s
2025-06-08 13:38:30,5.71 kB/s
2025-06-08 13:38:45,3.10 kB/s
2025-06-08 13:39:00,3.10 kB/s
2025-06-08 13:39:15,3.10 kB/s
2025-06-08 13:39:30,3.08 kB/s
2025-06-08 13:39:45,3.67 kB/s
2025-06-08 13:40:00,3.67 kB/s
2025-06-08 13:40:15,3.67 kB/s
2025-06-08 13:40:30,3.67 kB/s

