"Time","histogram_quantile(
    0.95,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-06-08 13:20:30,6.31 ms
2025-06-08 13:20:45,29.0 ms
2025-06-08 13:21:00,41.2 ms
2025-06-08 13:21:15,43.4 ms
2025-06-08 13:21:30,41.3 ms
2025-06-08 13:21:45,37.2 ms
2025-06-08 13:22:00,27.4 ms
2025-06-08 13:22:15,25.9 ms
2025-06-08 13:22:30,20.2 ms
2025-06-08 13:22:45,19.4 ms
2025-06-08 13:23:00,5.50 ms
2025-06-08 13:23:15,8.23 ms
2025-06-08 13:23:30,31.1 ms
2025-06-08 13:23:45,30.2 ms
2025-06-08 13:24:00,29.8 ms
2025-06-08 13:24:15,27.1 ms
2025-06-08 13:24:30,17.3 ms
2025-06-08 13:24:45,22.0 ms
2025-06-08 13:25:00,23.5 ms
2025-06-08 13:25:15,39.5 ms
2025-06-08 13:25:30,31.6 ms
2025-06-08 13:25:45,31.1 ms
2025-06-08 13:26:00,27.3 ms
2025-06-08 13:26:15,30.1 ms
2025-06-08 13:26:30,33.8 ms
2025-06-08 13:26:45,30.0 ms
2025-06-08 13:27:00,27.9 ms
2025-06-08 13:27:15,30.0 ms
2025-06-08 13:27:30,31.8 ms
2025-06-08 13:27:45,32.3 ms
2025-06-08 13:28:00,32.6 ms
2025-06-08 13:28:15,31.3 ms
2025-06-08 13:28:30,29.8 ms
2025-06-08 13:28:45,24.3 ms
2025-06-08 13:29:00,23.6 ms
2025-06-08 13:29:15,28.5 ms
2025-06-08 13:29:30,30.5 ms
2025-06-08 13:29:45,27.7 ms
2025-06-08 13:30:00,26.6 ms
2025-06-08 13:30:15,23.3 ms
2025-06-08 13:30:30,22.2 ms
2025-06-08 13:30:45,22.7 ms
2025-06-08 13:31:00,20.5 ms
2025-06-08 13:31:15,21.2 ms
2025-06-08 13:31:30,20.4 ms
2025-06-08 13:31:45,20.2 ms
2025-06-08 13:32:00,16.4 ms
2025-06-08 13:32:15,22.3 ms
2025-06-08 13:32:30,23.9 ms
2025-06-08 13:32:45,22.7 ms
2025-06-08 13:33:00,13.6 ms
2025-06-08 13:33:15,7.32 ms
2025-06-08 13:33:30,6.63 ms
2025-06-08 13:33:45,8.99 ms
2025-06-08 13:34:00,12.8 ms
2025-06-08 13:34:15,17.8 ms
2025-06-08 13:34:30,16.2 ms
2025-06-08 13:34:45,15.8 ms
2025-06-08 13:35:00,10.4 ms
2025-06-08 13:35:15,17.2 ms
2025-06-08 13:35:30,20.9 ms
2025-06-08 13:35:45,21.6 ms
2025-06-08 13:36:00,15.7 ms
2025-06-08 13:36:15,15.7 ms
2025-06-08 13:36:30,11.8 ms
2025-06-08 13:36:45,10.0 ms
2025-06-08 13:37:00,12.4 ms
2025-06-08 13:37:15,13.7 ms
2025-06-08 13:37:30,11.9 ms
2025-06-08 13:37:45,10.3 ms
2025-06-08 13:38:00,5.58 ms
2025-06-08 13:38:15,6.07 ms
2025-06-08 13:38:30,5.55 ms
2025-06-08 13:38:45,5.87 ms
2025-06-08 13:39:00,4.73 ms
2025-06-08 13:39:15,6.03 ms
2025-06-08 13:39:30,13.8 ms
2025-06-08 13:39:45,13.0 ms
2025-06-08 13:40:00,12.1 ms
2025-06-08 13:40:15,12.6 ms
2025-06-08 13:40:30,6.01 ms

