"Time","histogram_quantile(
    0.999,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-06-08 13:20:30,30.8 ms
2025-06-08 13:20:45,94.0 ms
2025-06-08 13:21:00,180 ms
2025-06-08 13:21:15,176 ms
2025-06-08 13:21:30,174 ms
2025-06-08 13:21:45,179 ms
2025-06-08 13:22:00,86.3 ms
2025-06-08 13:22:15,82.1 ms
2025-06-08 13:22:30,84.3 ms
2025-06-08 13:22:45,84.3 ms
2025-06-08 13:23:00,23.9 ms
2025-06-08 13:23:15,40.6 ms
2025-06-08 13:23:30,123 ms
2025-06-08 13:23:45,126 ms
2025-06-08 13:24:00,128 ms
2025-06-08 13:24:15,122 ms
2025-06-08 13:24:30,83.7 ms
2025-06-08 13:24:45,81.1 ms
2025-06-08 13:25:00,81.2 ms
2025-06-08 13:25:15,304 ms
2025-06-08 13:25:30,261 ms
2025-06-08 13:25:45,248 ms
2025-06-08 13:26:00,120 ms
2025-06-08 13:26:15,117 ms
2025-06-08 13:26:30,123 ms
2025-06-08 13:26:45,113 ms
2025-06-08 13:27:00,104 ms
2025-06-08 13:27:15,121 ms
2025-06-08 13:27:30,135 ms
2025-06-08 13:27:45,134 ms
2025-06-08 13:28:00,116 ms
2025-06-08 13:28:15,140 ms
2025-06-08 13:28:30,152 ms
2025-06-08 13:28:45,155 ms
2025-06-08 13:29:00,134 ms
2025-06-08 13:29:15,96.9 ms
2025-06-08 13:29:30,101 ms
2025-06-08 13:29:45,95.6 ms
2025-06-08 13:30:00,88.9 ms
2025-06-08 13:30:15,105 ms
2025-06-08 13:30:30,102 ms
2025-06-08 13:30:45,102 ms
2025-06-08 13:31:00,98.7 ms
2025-06-08 13:31:15,91.2 ms
2025-06-08 13:31:30,84.4 ms
2025-06-08 13:31:45,66.3 ms
2025-06-08 13:32:00,65.3 ms
2025-06-08 13:32:15,205 ms
2025-06-08 13:32:30,202 ms
2025-06-08 13:32:45,203 ms
2025-06-08 13:33:00,66.4 ms
2025-06-08 13:33:15,95.3 ms
2025-06-08 13:33:30,134 ms
2025-06-08 13:33:45,139 ms
2025-06-08 13:34:00,61.0 ms
2025-06-08 13:34:15,98.4 ms
2025-06-08 13:34:30,101 ms
2025-06-08 13:34:45,99.4 ms
2025-06-08 13:35:00,56.7 ms
2025-06-08 13:35:15,116 ms
2025-06-08 13:35:30,110 ms
2025-06-08 13:35:45,121 ms
2025-06-08 13:36:00,89.4 ms
2025-06-08 13:36:15,106 ms
2025-06-08 13:36:30,48.9 ms
2025-06-08 13:36:45,37.3 ms
2025-06-08 13:37:00,71.6 ms
2025-06-08 13:37:15,70.6 ms
2025-06-08 13:37:30,75.6 ms
2025-06-08 13:37:45,76.2 ms
2025-06-08 13:38:00,24.0 ms
2025-06-08 13:38:15,18.6 ms
2025-06-08 13:38:30,18.6 ms
2025-06-08 13:38:45,29.9 ms
2025-06-08 13:39:00,29.9 ms
2025-06-08 13:39:15,35.6 ms
2025-06-08 13:39:30,114 ms
2025-06-08 13:39:45,49.6 ms
2025-06-08 13:40:00,49.1 ms
2025-06-08 13:40:15,49.6 ms
2025-06-08 13:40:30,35.5 ms

