"Time","histogram_quantile(
    0.90,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-06-08 13:20:30,4.97 ms
2025-06-08 13:20:45,16.3 ms
2025-06-08 13:21:00,25.6 ms
2025-06-08 13:21:15,29.4 ms
2025-06-08 13:21:30,26.3 ms
2025-06-08 13:21:45,21.5 ms
2025-06-08 13:22:00,14.8 ms
2025-06-08 13:22:15,13.9 ms
2025-06-08 13:22:30,10.7 ms
2025-06-08 13:22:45,9.76 ms
2025-06-08 13:23:00,4.39 ms
2025-06-08 13:23:15,5.75 ms
2025-06-08 13:23:30,20.8 ms
2025-06-08 13:23:45,20.3 ms
2025-06-08 13:24:00,19.5 ms
2025-06-08 13:24:15,17.3 ms
2025-06-08 13:24:30,9.75 ms
2025-06-08 13:24:45,10.9 ms
2025-06-08 13:25:00,14.0 ms
2025-06-08 13:25:15,23.6 ms
2025-06-08 13:25:30,15.7 ms
2025-06-08 13:25:45,17.5 ms
2025-06-08 13:26:00,18.5 ms
2025-06-08 13:26:15,20.9 ms
2025-06-08 13:26:30,23.4 ms
2025-06-08 13:26:45,18.8 ms
2025-06-08 13:27:00,15.4 ms
2025-06-08 13:27:15,17.5 ms
2025-06-08 13:27:30,19.7 ms
2025-06-08 13:27:45,20.8 ms
2025-06-08 13:28:00,21.0 ms
2025-06-08 13:28:15,20.5 ms
2025-06-08 13:28:30,17.6 ms
2025-06-08 13:28:45,15.1 ms
2025-06-08 13:29:00,15.4 ms
2025-06-08 13:29:15,18.9 ms
2025-06-08 13:29:30,20.7 ms
2025-06-08 13:29:45,19.4 ms
2025-06-08 13:30:00,17.6 ms
2025-06-08 13:30:15,16.9 ms
2025-06-08 13:30:30,16.1 ms
2025-06-08 13:30:45,16.4 ms
2025-06-08 13:31:00,14.4 ms
2025-06-08 13:31:15,14.8 ms
2025-06-08 13:31:30,14.3 ms
2025-06-08 13:31:45,14.1 ms
2025-06-08 13:32:00,10.9 ms
2025-06-08 13:32:15,12.6 ms
2025-06-08 13:32:30,13.2 ms
2025-06-08 13:32:45,12.1 ms
2025-06-08 13:33:00,8.70 ms
2025-06-08 13:33:15,4.61 ms
2025-06-08 13:33:30,4.54 ms
2025-06-08 13:33:45,5.19 ms
2025-06-08 13:34:00,9.49 ms
2025-06-08 13:34:15,12.0 ms
2025-06-08 13:34:30,10.8 ms
2025-06-08 13:34:45,10.6 ms
2025-06-08 13:35:00,7.56 ms
2025-06-08 13:35:15,10.1 ms
2025-06-08 13:35:30,11.9 ms
2025-06-08 13:35:45,11.8 ms
2025-06-08 13:36:00,10.0 ms
2025-06-08 13:36:15,10.2 ms
2025-06-08 13:36:30,8.34 ms
2025-06-08 13:36:45,6.91 ms
2025-06-08 13:37:00,8.48 ms
2025-06-08 13:37:15,8.54 ms
2025-06-08 13:37:30,7.92 ms
2025-06-08 13:37:45,7.21 ms
2025-06-08 13:38:00,4.14 ms
2025-06-08 13:38:15,4.77 ms
2025-06-08 13:38:30,4.46 ms
2025-06-08 13:38:45,4.57 ms
2025-06-08 13:39:00,3.84 ms
2025-06-08 13:39:15,4.17 ms
2025-06-08 13:39:30,8.81 ms
2025-06-08 13:39:45,8.25 ms
2025-06-08 13:40:00,7.58 ms
2025-06-08 13:40:15,7.68 ms
2025-06-08 13:40:30,4.78 ms

