"Time","histogram_quantile(
    0.999,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-06-08 13:40:45,36.2 ms
2025-06-08 13:41:00,29.5 ms
2025-06-08 13:41:15,187 ms
2025-06-08 13:41:30,147 ms
2025-06-08 13:41:45,140 ms
2025-06-08 13:42:00,82.4 ms
2025-06-08 13:42:15,81.1 ms
2025-06-08 13:42:30,126 ms
2025-06-08 13:42:45,131 ms
2025-06-08 13:43:00,131 ms
2025-06-08 13:43:15,22.9 ms
2025-06-08 13:43:30,23.8 ms
2025-06-08 13:43:45,77.2 ms
2025-06-08 13:44:00,85.4 ms
2025-06-08 13:44:15,123 ms
2025-06-08 13:44:30,122 ms
2025-06-08 13:44:45,128 ms
2025-06-08 13:45:00,47.9 ms
2025-06-08 13:45:15,150 ms
2025-06-08 13:45:30,112 ms
2025-06-08 13:45:45,111 ms
2025-06-08 13:46:00,91.8 ms
2025-06-08 13:46:15,85.3 ms
2025-06-08 13:46:30,71.1 ms
2025-06-08 13:46:45,74.5 ms
2025-06-08 13:47:00,78.8 ms
2025-06-08 13:47:15,232 ms
2025-06-08 13:47:30,241 ms
2025-06-08 13:47:45,232 ms
2025-06-08 13:48:00,222 ms
2025-06-08 13:48:15,141 ms
2025-06-08 13:48:30,141 ms
2025-06-08 13:48:45,150 ms
2025-06-08 13:49:00,146 ms
2025-06-08 13:49:15,158 ms
2025-06-08 13:49:30,88.4 ms
2025-06-08 13:49:45,90.6 ms
2025-06-08 13:50:00,81.5 ms
2025-06-08 13:50:15,83.3 ms
2025-06-08 13:50:30,52.9 ms
2025-06-08 13:50:45,55.5 ms
2025-06-08 13:51:00,66.1 ms
2025-06-08 13:51:15,66.6 ms
2025-06-08 13:51:30,68.5 ms
2025-06-08 13:51:45,65.9 ms
2025-06-08 13:52:00,71.7 ms
2025-06-08 13:52:15,87.7 ms
2025-06-08 13:52:30,102 ms
2025-06-08 13:52:45,101 ms
2025-06-08 13:53:00,82.6 ms
2025-06-08 13:53:15,82.9 ms
2025-06-08 13:53:30,83.2 ms
2025-06-08 13:53:45,27.3 ms
2025-06-08 13:54:00,12.9 ms
2025-06-08 13:54:15,62.8 ms
2025-06-08 13:54:30,61.0 ms
2025-06-08 13:54:45,62.9 ms
2025-06-08 13:55:00,61.9 ms
2025-06-08 13:55:15,63.4 ms
2025-06-08 13:55:30,62.6 ms
2025-06-08 13:55:45,62.1 ms
2025-06-08 13:56:00,65.7 ms
2025-06-08 13:56:15,297 ms
2025-06-08 13:56:30,317 ms
2025-06-08 13:56:45,329 ms
2025-06-08 13:57:00,42.6 ms
2025-06-08 13:57:15,43.0 ms
2025-06-08 13:57:30,57.5 ms
2025-06-08 13:57:45,48.6 ms
2025-06-08 13:58:00,49.0 ms
2025-06-08 13:58:15,40.2 ms
2025-06-08 13:58:30,40.9 ms
2025-06-08 13:58:45,40.8 ms
2025-06-08 13:59:00,40.9 ms
2025-06-08 13:59:15,20.4 ms
2025-06-08 13:59:30,29.9 ms
2025-06-08 13:59:45,29.7 ms
2025-06-08 14:00:00,43.5 ms
2025-06-08 14:00:15,83.6 ms
2025-06-08 14:00:30,82.7 ms
2025-06-08 14:00:45,92.2 ms

