"Time","histogram_quantile(
    0.90,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-06-08 13:40:45,4.83 ms
2025-06-08 13:41:00,8.17 ms
2025-06-08 13:41:15,14.9 ms
2025-06-08 13:41:30,13.0 ms
2025-06-08 13:41:45,12.5 ms
2025-06-08 13:42:00,9.24 ms
2025-06-08 13:42:15,9.77 ms
2025-06-08 13:42:30,10.9 ms
2025-06-08 13:42:45,8.83 ms
2025-06-08 13:43:00,8.49 ms
2025-06-08 13:43:15,4.22 ms
2025-06-08 13:43:30,4.51 ms
2025-06-08 13:43:45,8.40 ms
2025-06-08 13:44:00,12.2 ms
2025-06-08 13:44:15,13.5 ms
2025-06-08 13:44:30,12.1 ms
2025-06-08 13:44:45,7.64 ms
2025-06-08 13:45:00,7.92 ms
2025-06-08 13:45:15,11.7 ms
2025-06-08 13:45:30,15.3 ms
2025-06-08 13:45:45,14.2 ms
2025-06-08 13:46:00,12.3 ms
2025-06-08 13:46:15,12.4 ms
2025-06-08 13:46:30,12.2 ms
2025-06-08 13:46:45,13.3 ms
2025-06-08 13:47:00,12.6 ms
2025-06-08 13:47:15,15.7 ms
2025-06-08 13:47:30,16.9 ms
2025-06-08 13:47:45,17.0 ms
2025-06-08 13:48:00,16.3 ms
2025-06-08 13:48:15,18.8 ms
2025-06-08 13:48:30,19.1 ms
2025-06-08 13:48:45,18.1 ms
2025-06-08 13:49:00,12.7 ms
2025-06-08 13:49:15,12.0 ms
2025-06-08 13:49:30,11.9 ms
2025-06-08 13:49:45,12.6 ms
2025-06-08 13:50:00,11.7 ms
2025-06-08 13:50:15,11.5 ms
2025-06-08 13:50:30,12.1 ms
2025-06-08 13:50:45,12.0 ms
2025-06-08 13:51:00,13.6 ms
2025-06-08 13:51:15,13.1 ms
2025-06-08 13:51:30,12.3 ms
2025-06-08 13:51:45,12.0 ms
2025-06-08 13:52:00,11.1 ms
2025-06-08 13:52:15,11.6 ms
2025-06-08 13:52:30,11.2 ms
2025-06-08 13:52:45,12.1 ms
2025-06-08 13:53:00,9.29 ms
2025-06-08 13:53:15,9.42 ms
2025-06-08 13:53:30,4.77 ms
2025-06-08 13:53:45,3.87 ms
2025-06-08 13:54:00,3.84 ms
2025-06-08 13:54:15,5.19 ms
2025-06-08 13:54:30,9.60 ms
2025-06-08 13:54:45,9.73 ms
2025-06-08 13:55:00,9.12 ms
2025-06-08 13:55:15,9.21 ms
2025-06-08 13:55:30,9.11 ms
2025-06-08 13:55:45,10.2 ms
2025-06-08 13:56:00,10.4 ms
2025-06-08 13:56:15,13.7 ms
2025-06-08 13:56:30,15.7 ms
2025-06-08 13:56:45,11.5 ms
2025-06-08 13:57:00,6.01 ms
2025-06-08 13:57:15,7.19 ms
2025-06-08 13:57:30,7.78 ms
2025-06-08 13:57:45,6.83 ms
2025-06-08 13:58:00,6.21 ms
2025-06-08 13:58:15,4.03 ms
2025-06-08 13:58:30,4.14 ms
2025-06-08 13:58:45,4.08 ms
2025-06-08 13:59:00,3.82 ms
2025-06-08 13:59:15,4.18 ms
2025-06-08 13:59:30,4.43 ms
2025-06-08 13:59:45,5.23 ms
2025-06-08 14:00:00,6.38 ms
2025-06-08 14:00:15,7.95 ms
2025-06-08 14:00:30,7.99 ms
2025-06-08 14:00:45,5.76 ms

