"Time","histogram_quantile(
    0.95,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 22:10:30,17.5 ms
2025-05-31 22:10:45,24.0 ms
2025-05-31 22:11:00,33.4 ms
2025-05-31 22:11:15,30.1 ms
2025-05-31 22:11:30,29.2 ms
2025-05-31 22:11:45,27.2 ms
2025-05-31 22:12:00,24.1 ms
2025-05-31 22:12:15,24.4 ms
2025-05-31 22:12:30,23.4 ms
2025-05-31 22:12:45,23.2 ms
2025-05-31 22:13:00,19.1 ms
2025-05-31 22:13:15,19.5 ms
2025-05-31 22:13:30,22.3 ms
2025-05-31 22:13:45,23.7 ms
2025-05-31 22:14:00,27.4 ms
2025-05-31 22:14:15,27.6 ms
2025-05-31 22:14:30,27.9 ms
2025-05-31 22:14:45,25.6 ms
2025-05-31 22:15:00,21.7 ms
2025-05-31 22:15:15,27.5 ms
2025-05-31 22:15:30,26.4 ms
2025-05-31 22:15:45,25.9 ms
2025-05-31 22:16:00,24.5 ms
2025-05-31 22:16:15,23.2 ms
2025-05-31 22:16:30,24.6 ms
2025-05-31 22:16:45,23.1 ms
2025-05-31 22:17:00,22.2 ms
2025-05-31 22:17:15,25.1 ms
2025-05-31 22:17:30,26.8 ms
2025-05-31 22:17:45,30.5 ms
2025-05-31 22:18:00,31.0 ms
2025-05-31 22:18:15,27.8 ms
2025-05-31 22:18:30,25.5 ms
2025-05-31 22:18:45,23.7 ms
2025-05-31 22:19:00,21.5 ms
2025-05-31 22:19:15,30.7 ms
2025-05-31 22:19:30,28.3 ms
2025-05-31 22:19:45,27.7 ms
2025-05-31 22:20:00,21.6 ms
2025-05-31 22:20:15,31.6 ms
2025-05-31 22:20:30,33.9 ms
2025-05-31 22:20:45,33.1 ms
2025-05-31 22:21:00,25.4 ms
2025-05-31 22:21:15,27.7 ms
2025-05-31 22:21:30,27.5 ms
2025-05-31 22:21:45,26.9 ms
2025-05-31 22:22:00,22.5 ms
2025-05-31 22:22:15,21.7 ms
2025-05-31 22:22:30,22.6 ms
2025-05-31 22:22:45,22.2 ms
2025-05-31 22:23:00,22.2 ms
2025-05-31 22:23:15,20.1 ms
2025-05-31 22:23:30,17.3 ms
2025-05-31 22:23:45,16.9 ms
2025-05-31 22:24:00,18.7 ms
2025-05-31 22:24:15,56.0 ms
2025-05-31 22:24:30,33.7 ms
2025-05-31 22:24:45,31.6 ms
2025-05-31 22:25:00,22.9 ms
2025-05-31 22:25:15,21.1 ms
2025-05-31 22:25:30,21.5 ms
2025-05-31 22:25:45,23.5 ms
2025-05-31 22:26:00,24.6 ms
2025-05-31 22:26:15,25.4 ms
2025-05-31 22:26:30,23.7 ms
2025-05-31 22:26:45,21.9 ms
2025-05-31 22:27:00,21.0 ms
2025-05-31 22:27:15,21.8 ms
2025-05-31 22:27:30,21.4 ms
2025-05-31 22:27:45,21.4 ms
2025-05-31 22:28:00,18.3 ms
2025-05-31 22:28:15,21.5 ms
2025-05-31 22:28:30,21.4 ms
2025-05-31 22:28:45,21.2 ms
2025-05-31 22:29:00,20.2 ms
2025-05-31 22:29:15,18.0 ms
2025-05-31 22:29:30,17.5 ms
2025-05-31 22:29:45,23.5 ms
2025-05-31 22:30:00,23.2 ms
2025-05-31 22:30:15,24.8 ms
2025-05-31 22:30:30,21.7 ms

