"Time","{job=""kafka-brokers""}"
2025-05-31 22:10:30,1.78 kB
2025-05-31 22:10:45,3.13 kB
2025-05-31 22:11:00,9.50 kB
2025-05-31 22:11:15,15.1 kB
2025-05-31 22:11:30,17.4 kB
2025-05-31 22:11:45,14.6 kB
2025-05-31 22:12:00,10.4 kB
2025-05-31 22:12:15,10.6 kB
2025-05-31 22:12:30,8.31 kB
2025-05-31 22:12:45,8.00 kB
2025-05-31 22:13:00,5.39 kB
2025-05-31 22:13:15,4.23 kB
2025-05-31 22:13:30,6.71 kB
2025-05-31 22:13:45,13.6 kB
2025-05-31 22:14:00,16.4 kB
2025-05-31 22:14:15,16.9 kB
2025-05-31 22:14:30,11.3 kB
2025-05-31 22:14:45,8.92 kB
2025-05-31 22:15:00,8.31 kB
2025-05-31 22:15:15,12.7 kB
2025-05-31 22:15:30,19.8 kB
2025-05-31 22:15:45,23.4 kB
2025-05-31 22:16:00,28.0 kB
2025-05-31 22:16:15,23.6 kB
2025-05-31 22:16:30,20.1 kB
2025-05-31 22:16:45,13.4 kB
2025-05-31 22:17:00,14.5 kB
2025-05-31 22:17:15,16.1 kB
2025-05-31 22:17:30,21.6 kB
2025-05-31 22:17:45,26.7 kB
2025-05-31 22:18:00,28.7 kB
2025-05-31 22:18:15,30.1 kB
2025-05-31 22:18:30,26.4 kB
2025-05-31 22:18:45,20.9 kB
2025-05-31 22:19:00,19.4 kB
2025-05-31 22:19:15,20.5 kB
2025-05-31 22:19:30,25.2 kB
2025-05-31 22:19:45,26.8 kB
2025-05-31 22:20:00,22.2 kB
2025-05-31 22:20:15,21.3 kB
2025-05-31 22:20:30,21.9 kB
2025-05-31 22:20:45,25.7 kB
2025-05-31 22:21:00,31.7 kB
2025-05-31 22:21:15,34.6 kB
2025-05-31 22:21:30,39.0 kB
2025-05-31 22:21:45,32.2 kB
2025-05-31 22:22:00,24.8 kB
2025-05-31 22:22:15,16.5 kB
2025-05-31 22:22:30,15.7 kB
2025-05-31 22:22:45,17.9 kB
2025-05-31 22:23:00,17.3 kB
2025-05-31 22:23:15,12.5 kB
2025-05-31 22:23:30,7.23 kB
2025-05-31 22:23:45,4.65 kB
2025-05-31 22:24:00,4.57 kB
2025-05-31 22:24:15,12.1 kB
2025-05-31 22:24:30,20.2 kB
2025-05-31 22:24:45,24.2 kB
2025-05-31 22:25:00,21.9 kB
2025-05-31 22:25:15,17.3 kB
2025-05-31 22:25:30,18.0 kB
2025-05-31 22:25:45,22.6 kB
2025-05-31 22:26:00,22.0 kB
2025-05-31 22:26:15,15.2 kB
2025-05-31 22:26:30,10.5 kB
2025-05-31 22:26:45,9.06 kB
2025-05-31 22:27:00,8.32 kB
2025-05-31 22:27:15,10.8 kB
2025-05-31 22:27:30,8.27 kB
2025-05-31 22:27:45,7.60 kB
2025-05-31 22:28:00,5.10 kB
2025-05-31 22:28:15,4.00 kB
2025-05-31 22:28:30,3.92 kB
2025-05-31 22:28:45,3.77 kB
2025-05-31 22:29:00,3.74 kB
2025-05-31 22:29:15,3.82 kB
2025-05-31 22:29:30,4.42 kB
2025-05-31 22:29:45,7.30 kB
2025-05-31 22:30:00,7.54 kB
2025-05-31 22:30:15,7.67 kB
2025-05-31 22:30:30,4.87 kB

