"Time","histogram_quantile(
    0.90,
    sum(
        rate(messaging_publish_latency_seconds_bucket{}[1m])
    ) by (le)
) * 1000"
2025-05-31 22:10:30,13.3 ms
2025-05-31 22:10:45,19.1 ms
2025-05-31 22:11:00,25.0 ms
2025-05-31 22:11:15,23.4 ms
2025-05-31 22:11:30,22.5 ms
2025-05-31 22:11:45,21.3 ms
2025-05-31 22:12:00,18.9 ms
2025-05-31 22:12:15,19.3 ms
2025-05-31 22:12:30,18.5 ms
2025-05-31 22:12:45,18.3 ms
2025-05-31 22:13:00,13.8 ms
2025-05-31 22:13:15,14.0 ms
2025-05-31 22:13:30,17.9 ms
2025-05-31 22:13:45,18.4 ms
2025-05-31 22:14:00,20.9 ms
2025-05-31 22:14:15,20.7 ms
2025-05-31 22:14:30,20.9 ms
2025-05-31 22:14:45,19.3 ms
2025-05-31 22:15:00,17.6 ms
2025-05-31 22:15:15,21.0 ms
2025-05-31 22:15:30,20.0 ms
2025-05-31 22:15:45,19.6 ms
2025-05-31 22:16:00,19.1 ms
2025-05-31 22:16:15,18.7 ms
2025-05-31 22:16:30,19.4 ms
2025-05-31 22:16:45,17.9 ms
2025-05-31 22:17:00,17.8 ms
2025-05-31 22:17:15,19.4 ms
2025-05-31 22:17:30,20.3 ms
2025-05-31 22:17:45,22.2 ms
2025-05-31 22:18:00,23.4 ms
2025-05-31 22:18:15,21.6 ms
2025-05-31 22:18:30,20.1 ms
2025-05-31 22:18:45,18.7 ms
2025-05-31 22:19:00,17.1 ms
2025-05-31 22:19:15,21.8 ms
2025-05-31 22:19:30,21.2 ms
2025-05-31 22:19:45,21.0 ms
2025-05-31 22:20:00,17.1 ms
2025-05-31 22:20:15,23.0 ms
2025-05-31 22:20:30,23.7 ms
2025-05-31 22:20:45,23.5 ms
2025-05-31 22:21:00,19.4 ms
2025-05-31 22:21:15,20.4 ms
2025-05-31 22:21:30,20.3 ms
2025-05-31 22:21:45,19.7 ms
2025-05-31 22:22:00,17.4 ms
2025-05-31 22:22:15,16.5 ms
2025-05-31 22:22:30,17.8 ms
2025-05-31 22:22:45,17.0 ms
2025-05-31 22:23:00,17.0 ms
2025-05-31 22:23:15,15.1 ms
2025-05-31 22:23:30,13.1 ms
2025-05-31 22:23:45,13.5 ms
2025-05-31 22:24:00,13.6 ms
2025-05-31 22:24:15,28.1 ms
2025-05-31 22:24:30,23.1 ms
2025-05-31 22:24:45,21.9 ms
2025-05-31 22:25:00,17.1 ms
2025-05-31 22:25:15,15.8 ms
2025-05-31 22:25:30,16.3 ms
2025-05-31 22:25:45,18.4 ms
2025-05-31 22:26:00,19.3 ms
2025-05-31 22:26:15,19.8 ms
2025-05-31 22:26:30,18.3 ms
2025-05-31 22:26:45,16.9 ms
2025-05-31 22:27:00,15.4 ms
2025-05-31 22:27:15,17.1 ms
2025-05-31 22:27:30,16.5 ms
2025-05-31 22:27:45,16.6 ms
2025-05-31 22:28:00,13.4 ms
2025-05-31 22:28:15,15.1 ms
2025-05-31 22:28:30,15.2 ms
2025-05-31 22:28:45,15.2 ms
2025-05-31 22:29:00,14.3 ms
2025-05-31 22:29:15,13.0 ms
2025-05-31 22:29:30,12.9 ms
2025-05-31 22:29:45,17.3 ms
2025-05-31 22:30:00,17.2 ms
2025-05-31 22:30:15,18.5 ms
2025-05-31 22:30:30,14.5 ms

